,0
128,"Kuti chuma cha Malawi chiyambenso kuyenda bwino, mbali imodzi yofunika kukonza ndi ngongole zimene boma liri nazo. Choyamba ndikuchotsa zifukwa zimene zimatigwetsa mu ngongole. Izitu ndi monga katangale amene amachititsa kuti ndalama zambiri zidziwonongeka. Tikathana ndi katangale, tikachotsa zinthu zosafunika mu bajeti, tikakweza ntchito za chuma kuti ndalama za misonkho zidzibwera zambiri, tikakonza mu ma embassy athu maiko akunja kuti anthu okhawo ofunika ndiye adzikhala, tichepetsa kulekana kwa ndalama zimene boma limatolera ndi ndalama zimene boma limafuna kuti ligwiritse ntchito. Potero kubwereka ndalama kuchepa. Pamene tidzayenera kubwereka tidzaonetsetsa kuti pali zifukwa zomveka kutero ndipo mafunso awa adzatsogolera kuti tibwereke kwa ndani; 1) Kodi ngongoleyo ithandiza kukulitsa chuma (GDP)? 2) kodi ngongoleyo ithandiza kuchulukitsa ndalama zopezeka kudzera ku misonkho kapena ichepetsa ndalama zofunika kugwiritsidwa ntchito kapena zonse ziwiri? 3) Kodi ngongoleyo ithandizira kuchulukitsa katundu ogulitsa kunja? Ngati yankho liri AYI makamaka ku funso 2 ndi 3, palibe ngongole yakunja yomwe tidzatenge. Ngati ngongole iyenera kutengedwabe, idzakhala yobwerekedwa mu dziko momwe muno kudzera njira ya chiongola dzanja chotsika komanso kubweza kwa nthawi yayitali"
129,Tikadzachepetsa kubwereka ndalama ndiye kuti ma banki adzakhala ndi ndalama zambiri zoti adzibwereketsa kwa a ma bizinezi pa chiongola dzanja chotsikirako. Boma lanu likubwerari lidzaika chidwi chapadera kulipira katundu amene adatengedwa pa ngongole ndi cholinga chakuti eni bizinezi akuze mabizinezi awo komanso alembe ntchito anthu owonjezera.
130,Katangale ndi ziphuphu
131,"Nkhani ya katangale ndi ziphuphu ndi imene imamanga nthenje pa misonkhano yokopa anthu nthawi ya chisankho. Chodwabwitsa n’chakuti atsogleri akalowa mu boma sangolephera kokha kuthetsa katangale koma amakaonjezera m’chitidwe wa katangalewo. Potengera zimene zavumbulutsidwa posachedwa zokhudza katangale, tonse tatsimikiza kuti atsogoleri athu akuchita nawo katangale."
132,"Gawo lalikulu la umphawi wathu ndi chifukwa cha ziphuphu. Takhala ndi atsogoleri amene amadziunjikira okha chuma kudzera njira za katangale ndikumatigaila kangachepe kuchoka pa chuma chambiricho ife timawagwadira ngati akutichitira chifundo chonsecho atatibera ndalama za misonkho yathu. Mmalo motipatsa mwai kuti tidzizipezera tokha zosowa zathu, takhala ndi utsogoleri otipanga kuti tikhale wodalira pa anthu a ndale ngati wotipatsa thandizo. Potero adzitigwiritsa ntchito mmene angafunire. Iwo amagwiritsa ntchito chuma chachinyengo chomwechi, chobedwa pa misonkho yambiri yomwe timalipira, kutikopa kuti tikhale tchinga lawo akagwidwa pa mulandu wa katangale. Amapereka chithunzithunzi chakuti akamawafufuza pa zolakwika ndiye kuti ndi adani awo pa ndale amene akuwalonda. Ifetu timakhala nyambo, kuwatchingira chonsecho ndi iwo adayamba kutiphera ufulu wathu wa maphunziro, ntchito za umoyo, chakudya komanso mwai wa ntchito ndi bizinezi pamene amachita katangale."
133,"Dziko la Malawi liri ndi ndalama zokwanira zoperekera ntchito zotumikira aMalawi moyenera. Dziko la Malawi liri ndi kuthekera koyendetsa dongosolo la bajeti popanda kubwereka ndalama zambiri. Zina zimene zatuluka pa mbalambanda zokhudza katangale zikuonetsa kuti makhuluku a bizinezi amapereka katundu ku boma pa mtengo wa US$10,524,000 chonsecho iwo adaoda katundu yemweyo pa mtengo wa US$2,165,700. Kutanthauza kuti adapanga phindu la US$8,358,300. Palibetu bizinezi ya chilungamo imene munthu angagulitse katundu ndi kupeza phindu lalikulu motere."
134,"A Malawi anzanga, kuti tipite patsogolo ngati dziko, tiyambe tathetsa katangale. Koma chifukwa chiyani katangale sakutha? Ndikubenthulirani zifukwa zake ndi izi: Chifukwa choyamba ndi mmene timachitira ndale. Pamene owona za chuma amatsimikiza kuti Malawi ndi dziko la anthu osauka, ndale zathu zimakhala zofuna ndalama za nkhani nkhani zimene anthu a ndale alibe. Iwo amagwirizana ndi makhuluku a bizinezi kuti awapatse ndalama cholinga chakuti akadzawina makhuluku a bizinezi adzaphangire mwai wa bizinezi za boma ndikumayika mtengo wokwera kwambiri. Ukutu nkutipangitsa pinyolo."
135,"A ndale akalandira ndalama kwa khuluku wa bizinezi amene walipidwa ndi misonkho yathu, iwo amayambitsa ma kampani amene amaphangiranso mwai wa bizinezi ku boma. Potero ndalama za misonkho yathu zikukhala mpamba woyambitsira bizinezi za a ndale a dyera ndipo bizinezi zake zimalipidwa ndi misonkho yathunso akaperekera katundu. Apa ndi pamene chisembwere chafika mdziko lathu lino. Tonse tiri ndi udindo wothetsa zimenezi. Chifukwa cha chiwiri n’chakuti zipani za ndale zimafuna ndalama zambiri zoyendetsera koma zilibe bizinezi iliyonse yopezera ndalamazo. Atsogoleri a ndale amasaka ndalama zoyendetsera chipani kugwiritsa ntchito njira za katangale kapena kuba ku boma."
136,"AMalawi anzanga, ndiloleni ndikufotokozereni mmene ziphuphu zimabweretsera umphawi. Tiyerekeze kuti panali ndalama zokwanira kumanga midadada itatu ya sukulu koma chifukwa cha katangale mtengo wakwera ndipo ndalamazo zingomanga midadada iwiri yokha. Tiyerekeze kuti mdadada uliwonse uli ndi makalasi awiri otha kukhala ana ophunzira 60. Komanso, tiyerekeze pomanga sukulu iliyonse, pakhala mwayi wa ntchito kwa anthu 10 ngati ma bilidala, akalipentala ndi ena. Pomanga midadada iwiri m'malo mwa itatu chifukwa cha katangale, zotsatira zake ndi izi"
137,"Midadada itatu ikadapangitsa kuti ophunzira 360 asamuke kuchoka pakuphunzira pansi pa mtengo kupita ku kalasi yabwino, koma chifukwa cha katangale, ndi ana 240 okha omwe akhale ndi makalasi abwino. Ophunzira ena 120 akupitirira kuphunzira pansi pa mtengo ngakhalendalama zinalipo zowaika m’kalasi yabwino."
138,"Kumanga midadada itatu kudakapereka mwayi wa ntchito kwa anthu 30. Pomanga awiri, zikutanthauza kuti anthu 10 omwe adakapeza ntchito yoti agwire, alibe ntchito"
139,"Popeza pali katangale, pali chiopsezo kuti midadada ya sukulu ziwirizi ikhala yosalimba. Itha kufunika kukonzedwanso mwachangu kuposa momwe idakafunikira chikhala kuti ntchito yomanga siyinalowe ziphuphu. Ndalama zina zifunika kukonzanso midadada ya masukulu yomwewo pomwe zikanagwiritsidwa ntchito zina."
140,Ngati ana akuphunzira pansi pa mtengo; ngati mulibe mankhwala m'zipatala; ngati m'madera ena kulibe misewu yabwino; ngati ntchito zikusowa; ngati tiri osauka; chimodzi mwa zifukwa zazikulu ndi ziphuphu.
141,Njira yathu yolimbana ndi katangale ikuyambira pakalowedwe mu boma. Sitipanga kampeni (campaign) monga amachitira ena. Sititero chifukwa sitifuna kupeza ndalama kwa makhuluku a bizinezi kuti mukativotera titumikire iwo m’malo motumikira inu a Malawi.
142,"Sitipanga chipani cha ndale chifukwa ndi chinthu chofuna ndalama zambiri chimene chimapangitsa kuti atsogoleri andale akopeke ndi katangale ndipo akakhala paudindo amawononga chuma chaboma popereka ndalama ku zipani. Sitikufuna kudziyika ku goli limene lakhala likulemera atsogoleri ena ndikuwapangitsa kuti nkhondo yothana ndi katangale isatheke. Tawona zimene zimachitika kuti chipani chikalowa m’boma iwo a mbali yolamula amadzimva kuti ndi anthu ofunika kuposa a Malawi ena. Ina mwa milandu imene tikumva yokhudza katangale ikukhudza anthu amene ndi akuluakulu a chipani amene amawopseza wogwira ntchito ku boma pogwiritsa ntchito mphamvu za ku chipani. Ine ndikufuna Malawi amene pasadzakhale wina wosokoneza boma poganiza kuti ali ndi mphamvu kapena ndiwofunika kwambiri kuposa a Malawi ena.
"
143,"Ndikukhulupirira kuti mugwirizana nane kuti zipani zakhala gawo limodzi lolimbikitsa tsankho potengera chigawo chochokera ndi mtundu. Zipani zina ndithu ngakhale membela atakhala wokhulupirika chotani akhala ndizomuyenereza, sangasankhidwe kukhala president wa chipani kuti akhale ndi mwai woyimira u president wa dziko ngati sachokera chigawo china kapena ngati si wa mtundu wina. Ndine wotsimikizika kuti kukhala president opanda chipani kudzapanga ntchito yoyanjanitsa a Malawi kukhala yopepuka."
144,"Kuphatikiza apo, mudzakhala ndi mtsogoleri amene chidwi chake chonse chidzakhale kuyendetsa dziko kuti titukuke mmalo mokhala ndi chidwi chogawanika pakati poyendetsa dziko ndi kuyendetsa chipani."
145,"Nkhondo yothana ndi katangale ndi ngati nkhondo ya asilikali. Imafunika kuti mabungwe amene udindo wawo ndi kuthana ndi katangale akhale ndi anthu amene ndi wokonda dziko lawo, wophunzira bwino, ali ndi zipangizo zofunika zokwanira komanso akutsogoleredwa bwino. Wotsogolera nkhondo imeneyi ndi President. Ngati mabungwe amenewa kapena anthu ena mu mabungwe amenewa angakhale wogwirizana ndi anthu amene akukhudzidwa ndi katangale kweni kweni ngati President angakhale wogwirizana ndi anthu a katangale, sizingatheke kupambana nkhondo imeneyi."
146,"Pachifukwa chakuti sitidzalowa m'boma ndi njira za ziphuphu, khulupirirani kuti tidzathetsa katangale. Nkhondo yolimbana ndi katangale idzakhala yosatsamwitsa chifukwa sitidzacheuka m’mbuyo nkumati koma awa tiwamanga bwanji pakuti adathandizanso ife. Ife tidzakutumikirani aMalawi mowona mtima. Ine ndidzatsogolera nkhondo imeneyi modzipereka, mwaukadaulo ndi mowona mtima."
147,Tsogolo la utsogoleri wa Malawi
148,"A Malawi anzanga ndikumvetsa kukhumudwa komwe kulipo pakati pa aMalawi akufuna kwabwino. Ndikudziwa kuti ena mwa inu mwataya chidwi chofuna kuvota pachisankho chikubwerachi chifukwa takhumudwitsidwa ndi utsogoleri kwa nthawi yayitali. Ndabwera kudzapereka chiyembekezo. Ndabwera kudzabwezeretsa kulimba mtima komwe takhala nako, pokhulupirira kuti monga nzika, mphamvu ziri m'manja mwathu kupanga utsogoleri womwe uli ndi i) Ungwiro, ii) Ukadaulo ndi iii) Kutumikira."
149,Chisankho cha pulezidenti cha 2025 chidzakhala ‘referendum’ - kusankha pakati pa kupitiriza kuponderezedwa kapena kuthetsa utsogoleri wopendereza nzika zake. Kusankha kupitiriza za chibwana zolephera kuyendetsa chuma ndi boma moyenera kapena kuyamba utsogoleri wa ukadaulo woyendetsa chuma ndi boma. Kusankha pakati pa andale kapena atsogoleri.
150,"Ndibwereze mawu a Mr. Barack Obama, mtsogoleri wakale wa USA, ""ife sitinatenge dziko kuchokera kwa makolo athu kotero kuti titha kuliwononga chifukwa ndi lathu, m'malo mwake tidabwereka dzikoli kwa ana athu ndi mibadwo ikubwera, kutero tikuyenera kulisamala kuti tidzabweze dziko labwino.”"
151,"Tiri ndi udindo wosintha kaganizidwe kakuti ndale ndi za anthu wolemera kweni kweni pamene kulemerako kudabwera chifukwa cha kuba ndalama zathu za misonkho. Tiri ndi udindo wotembenuza maganizo kuti ndale ndi za anthu za makhuluku, a bodza, osatha ntchito komanso kuti ndale ndi zowopsa."
152,"Ine ndi anzanga takonzeka kukutumikirani. Tadzipereka nsembe podziyika pa chiopsezo chomwe chingabwere ndi cholinga chakuti inu mukhale ndi kusankha kwenikweni. Tabwera kuti musachite jenkha kusowa chosankha pakati ma mandimu ndi manyumwa pakuti zonse ndizowawasa. Ife tabwera kuti mukhale ndi atsogoleri amene muwasankhe mokondwera kuti mwasankha bwino. Tikudziwa kuti amene tidzapikisane nawo ali ndi ndalama zambiri, kuphatikiza zomwe adaba ku misonkho yathu."
153,"Ife chida chathu ndi chikhulupiriro. Tikukhulupirira kuti tidzapambana ndi thandizo lanu. Ndife okonzeka kutsogolera dziko lathu mwaukatswiri. Monga mukudziwa ntchito za utsogoleri wa dziko ziri pawiri motere i) kudziwa kayendetsedwe ka chuma kuti miyoyo ya anthu ipite patsogolo, ii) kudziwa kayendetsedwe ka boma kuti ntchito zotumikra anthu zidziyenda bwino. Ine ndidzagwira ntchito imeneyi modzipereka, mwaukadaulo ndi mowona mtima."
154,Ndikukupemphani nonse a Malawi kuti mudzandivotere. Ndakonzeka kukutumikirani. Mwapadera ndikulimbikitsa achinyamata amene kwa nthawi yoyamba akhale ndi mwai wosankha nzawo wachinyamata. Ine ndidzayendetsa boma mozindikira kuti ndiri ndi udindo wapadera woliwonetsa dziko kuti achinyamata takonzeka kutsogolera. Potero ndikukalambula njira ya achinyamata amene adzifuna kuyima pa chisankho. Ndikulonjeza utsogoleri umene udzakhala mulozo wa khalidwe la ungwiro. Zomamva nkhani zowawitsa mutu zakuba ndi katangale zokhudza anthu amene ayandikana ndi utsogoleri wa dziko zitha 2025.
155,"Chisankho cha 2025 ndi mwai wosintha zinthu. Tizule mbewu ya anthu a ndale a katangale, tsankho ndi kusadziwa ntchito ndipo mmalo mwake tidzale mbewu ya atsogoleri omanga umodzi, wodziwa ntchito ndi a ungwiro amene atumikire tonse a Malawi. Pobwereza mau a malemu Lee Kuan Yew, mtsogoleri woyamba wa dziko la Singapore, “tikufuna anthu wodziwa ntchito ndi abwino mu ndale, osati wongobwebweta pamene sakudziwa chirichonse”. Tiyeni limodzi tikonze ndale m’dziko lathu. Ndale sizikhala zabwino ngati tilekerera anthu wolakwika omwewo. Ine ndayambitsa bwerani tithandizane."
156,"Ndikupempha aliyense adzifunse chikumbumtima chake ndikuganizira dziko limene tikufuna ana ndi zidzukulu zathu adzakhale. Nkutheka pakanali pano tiri pa chinyezi. Nkutheka muli mbali imodzi ya utsogoleri umene walephera kutumikira a Malawi. Mwina ndinu nduna, mulangizi, wamkulu mu boma, akukuakulu ndi mamembala a chipani, koma mukumva kutsutsika mu mtima kuti mmene zinthu ziriri si mmene mukadafunira kuwatumikira aMalawi. Ndikukupemphani mukhale mbali yanga. Awuzeni a pa banja anu ndi abale onse kuti adzindivotere chisankho cha 2025. Tiyeni tiyang’ane tsogolo la dziko."
157,"Ndikupempha nonse amene mwatsimikiza kuthandizira ulendo umenewo kuti muwatsimikizire ena, aja mudaphunzira nawo limodzi ku primary sukulu, aja mumacheza nawo ku mudzi, amfumu a mudzi mwanu, awuzeni kuti wodzamuvotera chisankho cha 2025 wapezeka ndipo ndi Milward Tobias. Mukatero mwandithandiza kwambiri."
158,"Kwa anzanga; ulendowu ukhala ndi zokhoma koma tikafika ndipo tidzawina chisankho. Tidzawina chifukwa tanyamula chiyembekezo cha aMalawi ambiri omwe akhala akulakalaka utsogoleri womwe chilungamo, wonena zoona, wodalirika, wochita zinthu poyera komanso wotukula miyoyo yawo ndi dziko lathu. Ndi nthawi yoti aMalawi anyadirenso kutchedwa m’Malawi.ungawatumikire, osati wotumikira kagulu kakang'ono komanso makhuluku a bizinezi. AMalawi akufuna utsogoleri wa chilungamo, wonena zoona, wodalirika, wochita zinthu poyera komanso wotukula miyoyo yawo ndi dziko lathu. Ndi nthawi yoti aMalawi anyadirenso kutchedwa m’Malawi."
159,"Apezeka wotibwezera mbuyo, wotinyoza, koma maso athu akhale pa cholinga chathu chimene ndikutsogolera aMalawi kutuluka mu ukapolo tiriwu. Kumanganso dziko la Malawi kufuna kulimba mtima kwathu. Ndife gulu lomwe titsogolere pomanganso Malawi."
160,"A Malawi anzanga, tichita kampeni modziwika ndi kuti Nzika Coalition ndikupikisana ngati munthu woyima payekha. Nzika Coalition ikutanthauza kubwera pamodzi kwa nzika posiyanitsa ndi migwirizano imene tayiwona ya anthu a ndale ndi ya zipani za ndale. Ngodya zathu ndi i) Ungwiro, ii) Ukadaulo iii) Kutumikira. Ndipo tikumati 'Voti yanga Tsogolo langa'."
161,"Masiku amathera ku chitseko. Chisankho chibwera posachedwa. Tiyeni tipemphere kwa Mulungu kuti atipatse moyo, kulimba mtima ndi chitetezo. Malawi alembanso mbiri yake."
162,Mulungu atidalitse tonse! Mulungu adalitse Malawi! Zikomo kwambiri!!
163,"Mfumu Kambiri idati kupatula kupititsa patsogolo zokolola komaso zokudya mwa thanzi mu dera lake, ndondomeko ya malonda ithandiziraso kutetezera alimi kwa akamberembere ogulitsa omwe malonda omwe amawagwiritsa ntchito mongofuna kupeza phindu mwaiwo okha."
164,"Mu Chigawo chapakati tikulimikitsa Soya, Mtedza, Mpenda Dzuwa ndi mbatata ndipo ku Mpoto"
165,"Nduna inawuza nyumba yamalamulo kudzera mu ndondomeko ya za chuma, kuti boma limayembekezera kukhazikitsa ndondomeko yatsopano yomwe ilimbikitse kusokhanitsa pamodzi zipangizo zoyendetsera ntchito molingana ndi kagwilitsidwe ntchito kabwino ka ndalama, ndondomekoyi ithandiza kuchepetsa ngongole."
166,"A Nduna anena kuti mu chaka cha 2023/ 2024 amanga sukulu zamanja ku Nkhotakota, Chikwawa ndi Chiradzulu"
167,Koma ndindani amene anapanga aliyese katsiwiri pa nkhani zachikondi? Ife ndindani kuti tiweruze wina wake pa chiganizo cha amene angagwe naye mu chikondi kapena chomwe angagwe nacho muchikondi? Kodi tikudziwa chomwe chimakoka/chimadolola ntima munthu wina ndi nzake kuti agwe mu chikondi? Koma tikuvetsetsa nkomwe momwe anakumanilana kapena chomwe chinachititsa? Tikudziwa nkomwe chomwe chinawamanga pamodzi anthu awiriwa?
168,"Bambo Hwesha, a phunzitsi aku Euthini Pulayimale amenyedwa ndi bamboo awo chifukwa chakuba ngo’mbe ndizikugulitsa. Ngombe zapezeka ndipo tsopano zili ku polisi ya Mzimba."
169,Msume Wati Cosmos wapezeka olakwa pa bwalo la khoti lolemba pa mulandu wakuba
170,"Nduna yoona za Chitetezo chadziko, Ken Zikhale Ng’oma, yapeleka ndalama yake ya mwezi wa Malichi yokwana wani miliyoni faifi handiledi kwacha, kwa adzukulu omwe anagwila ntchito yopulumutsa anthu nthawi ya Ngozi ya dzidzi."
171,Kuchokera Pamenepo sanapiteso ku South Africa Chitsimikizo choti amumanga chitapelekedwa
172,Ndizokhumudwitsa kuti Mpaka pano Mphavu zamagetsi Ku Malawi Sizinafikebe Zikwi zisanu
173,"Taphunzira Phunziro lalikulu kuti tinalakwitsa mu 2016 ndipo tsopano nthawi yakwana yoti tioneso lamulo la za Magetsi', iwo adatero"
174,Iye adati kuti tikwaniritse zimenezi tikulimbikitse ulimi wa nkaka ku south Africa
175,Mphonda adaonjezera kuti akuyembekezera kulemba ma kontilakita a tsopano kuti amalizitse ntchito
176,"Pulojekiti yokwana MK650 miliyoni kwacha imayembezekela kumalizika mu 2022, Webusaiti inapitiliza kunena choncho"
177,"Pomwe ena akuyesetsa kuyanjanitsa anthu ndi kuti mwina aziyankhula ndi mawu amodzi, pali munthu wina yemwe akuganiza za iye yekha"
178,"Pakali pano ziphaso zotulukira mudziko zikupelekedwa kwa anthu omwe ali ndi zadzidzi monga opita kuchipatala, ma ulendo a boma ndi ophunzira omwe akukaphunzira kunja, iye adatero"
179,Iye adati Chiphaso chotulukira mayiko ena ndi ufulu wa Malawi aliyese kukhala nacho ndipo anthu asachitenge ngati chamanyado
180,Tikulonjeza kusamala unthenga wanu mosamala
181,"Pepani, china chake chinalakwika"
182,"Yankhulani, pelekani maganizo anu pano!"
183,"Ngati mukudziwa winawake ali ndi vuto la ntima, chonde tidziwitseni.Izi ndi za ulele"
184,"Mwadzuka bwanji Anzanga. QECH ikhala ikulandila dokotala wa za mtima yemwe adzakhale akuthandiza odwala omwe ali ndi vuto la mtima kucjokera pa 8 Meyi mpaka pa 13 Meyi, 2023"
185,Anthu adzandiweruza ndiposo adzanena zomwe akufuna kunena koma ine ndimakhulupilira mulungu ndiyemwe ali ndi chonena chomaliza
186,Martse anamwalira chaka chatha kamba kamabala a moto
187,Khonsolo yamupatsa Nyirenda kalata ya chenjezo
188,Dekhani
189,Ndiyankheni/ndiyankhe
190,"Utha kuvina, sichoncho?"
191,Nnadutsa panyumba pa kwawo dzulo
192,Amayankhula french bwino
193,Tom aadandifunsa zomwe ndakhala ndikupanga
194,Tsikana wavala uniform yachikalate waphwanya ndodo ndi theche lakutsogolo.
195,Anthu akukhoza denga la nyumba
196,Gulu la anthu la ima kutsogolo kwa nyumba
197,Mwamuna wavala vest wakhala pampando ndipo akuwerenga magazine
198,Pali athu ambiri omwe ayimilira kunja kwa chimango/ nyumba
199,Wachisodzera anayimba lipenga pamalo amasewerowo
200,Nzimayi wachichepere akuyanga'na Piza
201,Sanatchuleko za ulendo umenewo
202,"Patatha zaka ziwiri akubisala, agogo anga anawoneka ku Landani"
203,Iyeyo sanakhozepo
204,"Tsopano, timatsatila boma ndi malamulo omwe alipo."
205,Utha kupanga zinthu zambiri
206,"Ndipo mpopompopo ndinamuitana, ndichocho"
207,Zili ndi tsogolo
208,"Ndikutathauza, kumapeto, atha iyeyo kugwira ntchito?"
209,Ichi ndichifukwa chake tili pano
210,"Tikawapatsa athu danga lonama/ kuwuzilana, amanama/amauzilana."
211,Ndili ndi kuthekera kodi kukhala ndi malo maganizo ndikamalemba?
212,Uyu ndi mdani wanga
213,Athu kugotumiza zithunzi.
214,"Ndipo ukazimitsa siwitchi,"
215,Oyendetsa galimoto akuona kuti sizabwino kuti magalimoto ena akudutsa pomwe ena akuyenera kudikila. Chinachake chikuyenera kuchitika zinthu zisanalowe chisokonezo.
216,Ndakwiya/nakwiya
217,Nilibe ndalama
218,ndine onenepa mopyola muyezo
219,Zitaye
220,Zitethetse
221,anamwetulira
222,Ndindani
223,Ndinawona galu
224,Ayi amatanthauza Ayi
225,Tom anazengedwa mulandu woyendetsa ataledzera atachita ngozi ku Bositoni
226,Tom wafika pa nthawi/ mlingo pa moyo wake yakuti akuyenera kupanga zisankho zofunikira
227,"Pamene owiyimba wachamba cha Roku anaonekera pa nsanja , ku chilinganizo choyimba nyimbo anthu anawombera mmanja mokweza/kwambiri"
228,Ndine ndani/yani? Ndimachokera kuti? Kodi uliposo moyo wina ukatha moyowu/tikamwalira?Kodi tanthauzo la moyo ndi chani/chiyani?
229,Kodi ndichifukwa chani tilibe chakudya chokwanira aliyese? Ndi mayesa munapita kogula zinthu masana.
230,Bungwe lowona za ufulu wa anthu pa dziko lose nthawi zambiri limapanga chilinganizo cha zionetsero pothandizira akaidi a ndale
231,"Tisanayambe, Ndili ndi mau ochepa chabe okhudza zakufunikira kwa ntchitoyi."
232,Uzidya chule wa moyo mmwawa uliwose ndipo tsiku lanu silidzaonongeka/ choipa sichidzakuchitikilani
233,Ndimayamika pamene mbadwa yachiyankhulo ikuyesetsa kundithandiza kuyankhula chiyankhulo momveka ngati mbadwa yachiyankhulocho
234,Ndidasintha zovala chifukwa zomwe ndidavala sizimagwirizana ndizochitika panthawiyo.
235,"Ndinkaganiza ngati ndi ma beya okha omwe amagona nthawi yayitali/ amanamizira kufa , koma aphunzitsa anatiso Nkhase nazo zimapanga chimodzimodzi"
236,"Ngati ndingapeze buku mu liyibulale, zitha kundipulumutsa kugula buku ku bukushopu"
237,"Atalingalira mwakuya, Tom anazindikira kuti samayenera kupanga ubwezi ndi achemwali awiri nthawi pa nthawi imodzi"
238,Zinali zokwana kuti Aldous Huxley analingalira chimodzi mwa zinthu zoopsa pa chikhalidwe cha anthu.
239,"Poyamba, Abulahamu Linkoni ankafuna kuti akapolo onse abwezedwe ku Afilika kapena ku Karibiyani."
240,"Nthawi Zina, ndizovta kudziwa ngati Thomu akupanga za zenizeni kapena zocheza"
241,Anthu aku Japani amaonetsa chidwi kwambiri pa gulu la anthu kapena bungwe kusiyana ndi munthu mmodzi
242,Choyamba chomwe tikuyenera kuchita ndikulembera ndikuthokoza alamu ako potilandila bwino
243,Chimake chenicheni chovetsetsana pakati pa Japani ndi Tchiyina sichinafikepo
244,Kuvetsetsa za nthawi ino nkosatheka ngati sitivetsa bwino za m’buyo
245,Thomu anatsitsa zenera la galimoto yake ndipo anadina batani la intakomo pa gate
246,Thomu Amakonda kubwera kuno chifukwa akuganiza kuti ndimalo okhawo omwe amagulitsa zakudya zabwino
247,Thomu amafuna akudzidzimutse ndi phwando koma ndinadziwa kuti udana nazo ndiye ndinamuletsa.
248,Thomu amamwa ku bala ndi Mele pa nthawi imene apolisi amaganiza kuti Joni anaphedwa
249,Chomwe chinandidabwitsa kwambiri chokhudza ngoziyo ndimomwe oyimirira milandu anafikira mwachangu pamalo angoziwo
250,"Mdima ukagwa, anyani amabwerera mmitengo kokagona, motetezeka kuzinthu zoyendayenda"
251,"Ukakwatira ndikukhala ndi ana, ndipomwe umazindikira kuti zochitika zimayankhula mokweza kuposa mau"
252,"Nthawi zonse pamene ukupezeka kumbali yagulu, ndi nthawi imene ukuyenera kuyima kaye ndikuunikira/kuganizira/kulingalira"
253,Pafupifupi aliyese mu kalasi anasankha ganizo lakuti pakhale mphwando lothokoza aphunzitsa
254,"Pamene chitsulocho chima tentha, Mele anathila madzi otchezedwa mu chosungilamo kuti apange thunzi"
255,"Chifukwa chakuonongeka kwampweya, tsiku lina njinga itha kudzabwezeretsa galimoto"
256,Kodi mukudziwa chifukwa chimene theka la ophunzira sanabwerele ku mkumano waophunzira?
257,Chizungu nthawi zambiri ndi chiyankhulo cha chisankho ukamayankhula makamaka kwa anthu akunja/ a mayiko ena
258,"Ndinali ndinkumano nthawi ya 2:30, koma kuchulukakwa galimoto munsewu, sinnakwanitse kufika kumeneko nthawi yabwino"
259,"Ngati ndingapeze buku mu liyibulale, zitha kundipulumutsa kugula buku ku bukushopu"
260,Ndizoletsedwa ku Yunayitedi Stetsi kuti anthu azamalamulo azigwilitsa ntchito nkhanza/kuzunza kuti apeze uthenga
261,"Luwisi Bulelo,yemwe anasiya kuona ali ndi zaka zitatu, anapeza njira yowerengera ya anthu osawona."
262,"Mele sinzimayi oyamba kugwa m’chikondi ndi munthu okwatira, ndipo sakhalaso omaliza"
263,Apolice anatseka mwachangu misewu yose yozungulira hotela pomwe amasaka bomba
264,Ma beya akuda ndi oyera omwe amakhala mu mapiri a Tchayina ndi Tibeti amatchedwa ma ‘Panda’
265,Apolice adamupeza Thomu atagona pansi ali ndi bowo la bomba pakati pa chipumi pake
266,Wandaleyo anati ndiwothokoza kwambiri pachithandizo chomwe aliyese anapereka pa chisankho
267,"Amanena kuti ku Ameleka aliyese atha kukhala mtsogoleri wadziko, koma mwina izi sizowona kwenikweni"
268,Thomu ndi Mele anapeleka mayankho ofanana pa mayeso zomwe zinachititsa aphuzitsi kukhala ndi chikayiko
269,"Thomu ndi Mele amayankhula chi fulansa, koma anasitha kupita ku chizungu Joni atalowa mu chipindamo"
270,"Thomu anadya malo odyera achilendo tsikul lina, koma sakukumbuka dzina la malowo"
271,"Thomu anakakamilabe kunena kuti iye ndiwosalakwa, ndipo ananena kuti iye anachita kunamizilidwa."
272,Thomu anapha Mele chifukwa anazindikila kuti ndiyemwe anayatsa moto womwe unapha banja lake.
273,"Thomu anamuza Mele kuti adzipha yekha, koma analibe kulimba ntima kochitira zimenezi"
274,"Thomu, Mele, Joni ndi Alisi ndipachinzake .Iwo anadziwana ali ana"
275,"Nditapangitsaso chiphaso choyendetsera galimoto, ndidayenera kupanga chisankho ngati ndimafuna kukhala opereka ziwalo"
276,"Pamene winawake wayamba kuyankhula mozungulira/mopanda chindunji, zimaveka ngati akunama"
277,"Kutengela mu magazini iyi, chuma cha Japani chikusokonerasokonekerela chaka ndi chaka"
278,"Ngakhale zilumba zambiri za pa Nyanja yayikulu ndizochitidwa mapu, Pansi pa Nyanja yayikulu ndiposadziwika"
279,"Pazipangizo za mphepo, abolijino dijerido yopangidwa kuchokera ku yukalipitasi inali yokondedwa kwa iye"
280,"Chifukwa chazifukwa zina zoposera malingaliro athu, ulendo wathu wopita ku Phiri walephereka"
281,"Ngakhale Thomu adakulira ku mudzi, iye amakonda udobadoba wamu nzinda"
282,"Chisangalalo chimatengera, osati kwambiri muzochitika zapa nthawi imeneyo,koma momwe munthu amawuonera moyo"
