,0
248,Tom was drinking at a bar with Mary at the time the police think that John was murdered.
249,What surprised me most about that accident is how fast the lawyers arrived on the scene.
250,"When darkness falls, the baboons return to the trees to sleep, safe from night prowlers."
251,"When you get married and have kids, you'll realize that actions speak louder than words."
252,"Whenever you find yourself on the side of the majority, it is time to pause and reflect."
253,Almost everyone in the class voted in favor of having a thank-you party for the teachers.
254,"As the iron was heating up, Mary poured distilled water into the reservoir to make steam."
255,"Because of the problem of air pollution, the bicycle may some day replace the automobile."
256,Do you know the reason why two-thirds of the students did not attend the student meeting?
257,English is quite often the language of choice when speaking to an international audience.
258,"I had an appointment at 2:30, but I got caught in traffic and couldn't get there in time."
259,"If I can get a book from the library, it saves me from needing to buy it in the bookshop."
260,It is illegal in the United States for law enforcement to use torture to get information.
261,"Louis Braille, who was blind from the age of three, invented a way for the blind to read."
262,"Mary's not the first woman to fall in love with a married man, and she won't be the last."
263,Police immediately sealed off the streets around the hotel as they searched for the bomb.
264,The black and white bears living in the mountains in China and Tibet are called 'pandas'.
265,The police found Tom lying on the floor with a bullet hole in the middle of his forehead.
266,The politician said he was deeply indebted to everyone for their support in the election.
267,"They say that in America anyone can become president, but perhaps that's not really true."
268,Tom and Mary gave exactly the same answers on the test which made the teacher suspicious.
269,"Tom and Mary were speaking in French, but switched to English when John entered the room."
270,"Tom ate at a new restaurant the other day, but he doesn't remember the restaurant's name."
271,"Tom has always maintained that he is innocent, and claims to this day that he was framed."
272,Tom killed Mary because he found out she had started the fire that had killed his family.
273,"Tom told Mary that he was going to kill himself, but he didn't have the courage to do it."
274,"Tom, Mary, John and Alice are friends. They've known each other since they were children."
275,"When I got my driver's license renewed, I had to decide if I wanted to be an organ donor."
276,"When someone speaks with such rhetorical flourish, it starts to sound like they're lying."
277,"According to this magazine, the economic situation in Japan is getting worse year by year."
278,"Although most islands in the ocean have been mapped, the ocean floor is generally unknown."
279,"Among the wind instruments, the aboriginal didgeridoo made of eucalyptus was his favorite."
280,"Due to unforeseen circumstances, our trip to the mountains this weekend will be cancelled."
281,"Even though Tom was brought up in the country, he loves the hustle and bustle of the city."
282,"Happiness depends, not so much on circumstances, as on one's way of looking at one's life."
283,"History is like a waltz, eternally following the three steps of war, peace and revolution."
284,I began driving our tractor when I was 12 years old to help my father out at harvest time.
285,"I don't know what went on last night, but they're not speaking to each other this morning."
286,I don't think it's always right for local governments to submit to the central government.
287,I'm a non-native speaker of English and realize there is a lot that I still need to learn.
288,I've heard that you don't eat green leafy vegetables. You say that it is food for animals.
289,One out of 455 women doesn't realize she's pregnant until the twentieth week of pregnancy.
290,Some of Martin Luther King's supporters began to question his belief in peaceful protests.
291,The names of the students who failed in the examination were posted on the bulletin board.
292,To reduce misunderstandings we should learn the techniques for communicating successfully.
293,Tom asked Mary about the traffic accident she was involved in when she was five years old.
294,Tom felt a little uneasy as he walked down the deserted street in the middle of the night.
295,Tom has enough money to buy any computer in this store. He just needs to decide which one.
296,You're the only person I know besides me who is actually interested in this kind of thing.
297,A study found that almost 10% of men were obese in 2008. That was up from about 5% in 1980.
298,"Do you swear to tell the truth, the whole truth and nothing but the truth, so help you God?"
299,"Esperanto, Ido, Interlingua, Klingon, Lojban, Na'vi and Volapük are constructed languages."
300,"Good friends are like stars. You don't always see them, but you know they are always there."
301,"If you concentrate all your energies on the study of English, you will master the language."
302,"In January of that year, we saw snow for four days, from the fourteenth to the seventeenth."
303,It is because light travels faster than sound that we see lightning before we hear thunder.
304,It is difficult to overcome this shortcoming without drastically changing the whole system.
305,"My grandfather does moderate exercise every morning, which is why he is strong and healthy."
306,"Often, the less there is to justify a traditional custom the harder it is to get rid of it."
307,"She asked him out on a date, but he said no since he thought girls should not ask boys out."
308,The best parents of all are those who allow their children to follow their natural talents.
309,The only thing on the table that I normally wouldn't eat is that stuff on the yellow plate.
310,"Then he got dressed, stuffed his lecture notes into his briefcase, and ran down the stairs."
311,"There are times when you need to fight for what's right, even at the risk of your own life."
312,Tom began working as a volunteer at the homeless shelter while he was still in high school.
313,Tom has a framed photo of his parents on their wedding day hanging on his lounge room wall.
314,Tom makes way too many snide remarks. That's perhaps why he doesn't have very many friends.
315,"When Tom looked down at the apple he was eating, he realized that he had eaten half a worm."
316,"When poverty comes in the door, love flies out the window is a saying as old as it is sad."
317,"A doctor can bury his mistakes, but an architect can only advise his clients to plant vines."
318,"After I graduated from college, I moved back home and lived with my parents for three years."
319,"Even though my friend was a vegetarian, I didn't tell him that the soup had some meat in it."
320,"First I'll look at the prices, and only then I'll decide whether I'll buy the camera or not."
321,"For the other 600 million people, English is either a second language or a foreign language."
322,He was looking forward to spending the weekend with her in their little cottage in Somerset.
323,"If you say exactly what's on your mind all the time, you're likely to upset a lot of people."
324,It's not right for you to do something bad just because someone else has done something bad.
325,"Lonely people tend to be afraid of meeting others, which ensures they will always be lonely."
326,Mary is really great. She cooked a wonderful meal for me and even washed the dishes herself.
327,Mary traveled into the future and found that climate change had destroyed all life on Earth.
328,One thing Tom does that isn't very safe is that he uses the same password for every website.
329,"She asked him to help her father clean the garage, but he said that he was too busy to help."
330,"The Democrats haven't decided on their candidates yet, but in any case they're sure to lose."
331,The area of a triangle is half of the area of the rectangle with equivalent base and height.
332,The police found boxes that contained marijuana and other drugs inside the trunk of the car.
333,They took Tom to the hospital to have his stomach pumped because he ate something poisonous.
334,"Tom can't remember all his passwords, so he keeps them in a list disguised as phone numbers."
335,Tom has to be careful about what he eats at restaurants because he's allergic to many foods.
336,Tom lost the shopping list his mother had given him and just bought things he wanted to eat.
337,Tom pleaded guilty to drunken driving and his driver's license was suspended for six months.
338,Tom thought it was a good idea to take advantage of the opportunity that Mary had given him.
339,"Tom thought the music was too loud, but he was too tired to get up and turn the volume down."
340,"Tom thought where he put his gold coins was the perfect hiding place. However, he was wrong."
341,Tom told Mary that he wouldn't be able finish the job in the amount of time she'd given him.
342,Tom was impeccably dressed and well prepared for his job interview with the finance company.
343,"When I got out of jail, the first thing I wanted to do was to eat at my favorite restaurant."
344,"While cleaning my room yesterday evening, I happened to find an old photograph of my mother."
345,Worrying is like a rocking chair; it gives you something to do but doesn't get you anywhere.
346,I don't think it makes him a bad person just because he's decided he likes to eat horse meat.
347,I have recently used the services of his travel agency to book a cruise in the Mediterranean.
348,I just want to let you know that I think you're the most beautiful woman that I've ever seen.
349,I never thought this rubber band would come in handy when I put it in my pocket this morning.
350,"In some areas of the world, you can still get sued if you slander or libel a deceased person."
351,"No matter how carefully you choose your words, they'll always end up being twisted by others."
352,"She bought him a car, but he didn't have a driver's license so he couldn't drive it anywhere."
353,Tom and Mary were snuggled up to each other and Tom was whispering something into Mary's ear.
354,"Tom would have liked to attend Mary's party. Unfortunately, he had other things he had to do."
355,We keep our most interesting thoughts and the most interesting side of ourselves hidden away.
356,"Considering all I've eaten all day is just one slice of bread, I'm not really all that hungry."
357,"I have the afternoon off today, so I plan to go to the park, sit under a tree and read a book."
358,"I realize that this may sound crazy, but I think I've fallen in love with your younger sister."
359,I think Tom is going to be pretty mad when he finds out that the painting he bought is a fake.
360,"I think if I talked more often with a native speaker, my English skills would improve quickly."
361,"I tried explaining the algebra homework to him, but it just went in one ear and out the other."
362,"If the universe is full of stars, why doesn't their light continually light up the entire sky?"
363,"If we were supposed to talk more than listen, we would have been given two mouths and one ear."
364,"In conversation, one is likely to find out certain things about the other person quite easily."
365,It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.
366,It's no use confessing your sins to the priest if you don't think twice before repeating them.
367,"Money can't buy happiness. However, it's more comfortable to cry in a Maserati than on a bike."
368,That knife was so blunt I couldn't use it to cut the meat so I had to rely on my pocket knife.
369,This note summarizes some information that we hope to discuss at the meeting in San Francisco.
370,Tom called Mary to ask her whether she wanted him to buy some bread on his way home from work.
371,Tom told the children that they could stay in this room as long as they didn't make any noise.
372,Tom wished he had had the courage to jump into the river and save the baby that had fallen in.
373,Tom's an irritating person to work with because he'll never admit it when he's made a mistake.
374,"When we are away from home, nothing gives us more pleasure than to receive a parcel from home."
375,"As soon as I can get my son to scan our family photos, I'll upload some of them to our website."
376,"For some reason, people have been avoiding me like the plague ever since I got back from India."
377,It wasn't until long after they got married that Tom found out that Mary was wanted for murder.
378,Mary waited years for Tom to get out of prison and was very happy when he finally got released.
379,Never work on electrical wiring without unplugging it; it's a bad idea. I know from experience.
380,"Professional translators quite often specialize in just one field, for example law or medicine."
381,The bursting of Japan's so-called bubble economy sent shockwaves through international markets.
382,"Tom could hear a commotion in front of his house, so he went outside to see what was happening."
383,Tom wondered how many times he'd have to tell Mary to clean her room before she finally did it.
384,"We have considered your proposal, and we have decided that we are not able to reduce the price."
385,We humans have a great way of twisting facts to fit our conclusion as soon as we have made one.
386,"When he left the Army, Roger Miller moved to the home of country music in Nashville, Tennessee."
387,"When out at sea, to keep the fish that is caught from spoiling, it is immediately refrigerated."
388,"When the train goes through the station, the windows rattle noisily and the whole house shakes."
389,"You mustn't think only about your job, you must also think about the importance of your family."
390,"According to the old man I met yesterday, cockroaches can be eaten and don't taste all that bad."
391,"After Tom had eaten all the popcorn in the bowl, he went back into the kitchen to pop some more."
392,"Although he had fewer supporters among the governing class, he was able to get the popular vote."
393,"Cesar Chavez died in 1993 at the age of sixty-six. More than 40,000 people attended his funeral."
394,"Don't worry. He may look intimidating at first glance, but he's actually a very friendly person."
395,"I thought a bunch of people would go water skiing with us, but absolutely no one else showed up."
396,"I thought doing this would be easy, but we've been working all day and we're still not finished."
397,"If you want to change the world, start with the person that you see in the mirror every morning."
398,Investment in education is undoubtedly the only effective way to bring a country out of poverty.
399,It is needless to say that an experienced person will do better than someone without experience.
400,It's a lot less likely for a Macintosh computer to have a virus than a computer running Windows.
401,Most people say that the best way to learn a foreign language is to learn from a native speaker.
402,"Since I haven't received an answer, I was wondering if maybe my mail never got delivered to you."
403,"The ability to work hard is an admirable quality, but the ability to relax is equally important."
404,"The most interesting information comes from children, for they tell all they know and then stop."
405,"Tom said that he doesn't want to hurt you, but if you come around here again, he'll beat you up."
406,Tom says he can't understand how Mary manages to make so much money working only one day a week.
407,Carbon monoxide is a poisonous substance formed by the incomplete combustion of carbon compounds.
408,He is usually straightforward and sincere and thereby gains the confidence of those who meet him.
409,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week."
410,"Roger Miller learned to play the guitar and the violin. Much later, he learned to play the drums."
411,"She advised him to visit Boston, because she thought it was the most beautiful city in the world."
412,"Tom gave a famous singer ten thousand dollars to come to the restaurant to sing ""Happy Birthday."""
413,Tom left the milk unattended on the stove and it boiled over and went all over the kitchen floor.
414,"When you have eliminated the impossible, whatever remains, however improbable, must be the truth."
415,"Foods rich in vitamin E include dark-green, leafy vegetables, beans, nuts and whole-grain cereals."
416,"From personal experience, I know that any encounter with him will leave a bad taste in your mouth."
417,Give a man a fish and you feed him for a day. Teach a man to fish and you feed him for a lifetime.
418,His novel ideas are time and again getting him into trouble with his more conservative colleagues.
419,I heard that one way to stay healthy is to avoid eating any food with unpronounceable ingredients.
420,I think it's unlikely that the next version of Windows will come out before the end of this month.
421,I've kept my weight down even though many of my friends have gained weight as they've grown older.
422,The boy I saw searching through the garbage can said that he had not eaten anything for four days.
423,Tom told Mary that he thought a hippopotamus could run at a speed of about 30 kilometers per hour.
424,Yesterday the unveiling of the founder's statue and the opening of the school building took place.
425,You know that your English is good when people stop complimenting you on how good your English is.
426,"Even though Tom begged Mary not to go, she left with the children and went to live with her mother."
427,"I can't change the direction of the wind, but I can adjust my sails to always reach my destination."
428,"I don't like snack bars. They're expensive, noisy, and full of the smell of tobacco and fried food."
429,"I've got a squeaking noise in my brand new car, and do you think I can find where it's coming from?"
430,"Scientists continue to discover new medicines, so there is always hope for people who are in comas."
431,"Since in this organization they're all chiefs and no Indians, it's a wonder any decisions get made."
432,"Their influence becomes greater every day, but they are uncreative and can't make value judgements."
433,Tom did everything within his power to save the children that were trapped in the burning building.
434,Tom told Mary that he didn't think it was a good idea for her to go jogging in the park by herself.
435,Giving up smoking is the easiest thing in the world. I know because I've done it thousands of times.
436,I don't quite believe it when I hear someone claim they can speak more than five languages fluently.
437,I think it's unlikely that aliens similar to what we see in the movies have ever visited our planet.
438,"If you spend too much time in the sun without putting on sunscreen, you are likely to get a sunburn."
439,One of the greatest secrets of happiness is moderating your wishes and loving what you already have.
440,"That knife wasn't sharp and I couldn't cut the meat with it, so I resorted to using my pocket knife."
441,There have been a lot of complaints from consumers that our products don't last as long as we claim.
442,Tom was unsure what Mary would be like and he wondered whether she would get along with his friends.
443,"Before I get out of bed, I spend a little time thinking about what I'll be doing the rest of the day."
444,"I looked in my closet for something to wear, but couldn't find anything appropriate for the occasion."
445,"I watched the film named ""Texas Chainsaw Massacre"" with my girlfriend yesterday. She was very afraid."
446,"In order to get some information about Japanese economic problems, you'll find this book very useful."
447,The pledge to stop smoking cigarettes ranks among the top ten New Year's resolutions year after year.
448,Tom did everything within his power to keep Mary from being elected president of the student council.
449,Tom wondered why many people in America think that baseball is more interesting to watch than soccer.
450,"If you're tired, why don't you go to sleep? ""Because if I go to sleep now I will wake up too early."""
451,"A young boy, who couldn't have been more than five years old, asked Tom how to get to the post office."
452,I was just wondering if I could borrow three hundred dollars from you. I can pay you back next Monday.
453,"My father, grandfather, great-grandfather and great-great-grandfather all had the same name as I have."
454,"Some people consider it a waste of time to study languages such as Klingon, Interlingua and Esperanto."
455,The Super Nintendo's graphics are amazing. They're so much better than those of the original Nintendo.
456,The iPad would be a perfect solution for me if it could properly display web pages with Flash content.
457,Tom was determined not to make the same mistakes with his children that his parents had made with him.
458,"When you watch television or listen to the radio, the music which you hear is often African in origin."
459,You should make sure that you get there on time. Tom won't wait more than ten minutes if you are late.
460,"If you're not happy with your purchase, you can return it at any time. ""Could I get that in writing?"""
461,"Disconnect the power cable from the modem, wait for approximately one minute, then reconnect the cable."
462,"I look for all the world like an athlete in this outfit, but the truth is I don't do any sports at all."
463,The attitude of the court toward young criminals is different from its attitude toward adult criminals.
464,There were three hundred cardboard boxes filled with old clothes ready to be sent to the disaster area.
465,Tom felt the stiffness in his joints as he stood up after sitting in the same position for a long time.
466,Tom prefers to take a shower in the morning while Mary prefers to take a bath just before going to bed.
467,"Tom sprang out of bed, threw on some clothes, ate breakfast and was out of the door within ten minutes."
468,"If you'd told me about it earlier, I could've been free. However, tomorrow I have plans to go back home."
469,It takes more time to prepare the car for getting painted than it takes for the actual paint job itself.
470,"On school nights, Tom goes to bed at nine o'clock, but on Fridays and Saturdays, he stays up much later."
471,"Some people think that it is difficult for a native speaker of English to learn Chinese, but I disagree."
472,The world's greatest singers and most of its famous musicians have been fat or at least decidedly plump.
473,Tom and Mary don't have much time to talk together. Their children are always demanding their attention.
474,"Tom thinks he knows how much money Mary makes, but Mary makes quite a bit more than Tom thinks she does."
475,"During hard times, people might not go on a trip, but they might be willing to pay extra for good coffee."
476,"If you watch the sun setting on a warm, damp day, you can see the moisture changing the shape of the sun."
477,"Some superstitious people in America believe that if a black cat crosses your path, you'll have bad luck."
478,"The trouble with the world isn't that people know too little, but they know so many things that ain't so."
479,The worst-case scenario is that Tom will lose his job and won't be able to keep up his mortgage payments.
480,Thomas A. Edison so loves his work that he sleeps an average of less than four hours of each twenty-four.
481,We were unsure what kind of person Tom would be and whether he would like living in the same house as us.
482,"What's important isn't which university you've graduated from, but what you learned while you were there."
483,"If your spouse is a politician, then likely your name will also appear in the newspaper from time to time."
484,"Last year, I spent so much time by myself that I almost forgot how to communicate effectively with others."
485,"Tom asked Mary a few questions that she couldn't answer, but she was able to answer most of his questions."
486,Tom couldn't hear what the teacher was saying because all of the other students were making so much noise.
487,We were unsure what kind of person Tom would be and whether he would like to live in the same house as us.
488,"When I woke up today, I yawned, stretched, rubbed the sleep out of my eyes, and put on a pair of slippers."
489,"Cats are like girls. If they talk to you it's great, but if you try to talk to them, it doesn't go so well."
490,He began to suspect something was wrong when the seller didn't allow him to test the item before buying it.
491,"He got tired of being the devil's advocate and now agrees with every idea they suggest, no matter how dumb."
492,"Incidentally, this room doesn't have anything like an air conditioner. All it has is a hand-held paper fan."
493,"Last year in the Philippines, earthquakes and tidal waves resulted in the deaths of more than 6,000 people."
494,There have been a lot of complaints recently about drivers not obeying the speed limits in downtown Boston.
495,We're gonna make sure that no one is taking advantage of the American people for their own short-term gain.
496,Why did I buy flowers? Is that what you just said? It's really noisy here so I couldn't hear you very well.
497,I like to feel sad. I know that most people try to avoid any kind of sad feeling. But I think that is wrong.
498,I talked with Tom for over an hour before he said something that made me realize he wasn't a native speaker.
499,"Eight years ago, we were in the early stages of what would become the worst economic crisis of our lifetimes."
500,"I don't think it's necessary for me to sound like a native speaker, I just want to be able to speak fluently."
501,"I don't think there is any excuse for his behavior. At the same time, we should listen to what he has to say."
502,"If you don't start treating people with a little more respect, people may start avoiding you like the plague."
503,It is easier for a camel to pass through the eye of a needle than for a rich man to enter the kingdom of God.
504,"It's hard to be a woman. One must think like a man, act like a lady, look like a girl, and work like a horse."
505,A lot of banging and cussing could be heard coming out of the garage when Tom was trying to fix the lawnmower.
506,I can't believe that you aren't at least willing to consider the possibility that there's another explanation.
507,It doesn't make sense to criticize someone for doing something that we would do if we were in their situation.
508,"Masculine qualities in a woman are seen as strength, while feminine qualities in a man are viewed as weakness."
509,"The graphic description of the victim's murder was too much for his mother, who ran out of the court in tears."
510,"Even though Tom told Mary about his problem, he didn't want to listen to any advice she had on how to solve it."
511,"I realize I may not be the most desirable man in the world, but I still hope you'll consider going out with me."
512,"In preparation for painting a portrait, my friend takes many photographs in order to study the subject closely."
513,Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen.
514,"People often lie about what they did on the weekend, so their friends won't realize how boring they really are."
515,Something you should know about me is that my greatest fear in life is that people will find out that I'm poor.
516,Tom pressed his ear against the wall to see if he could hear what his parents were discussing in the next room.
517,"Tom was obsessed by the belief that, one by one, everyone around him was being abducted and replaced by aliens."
518,"I know that it is highly unlikely that you'd ever want to go out with me, but I still need to ask at least once."
519,"Acting on advice from his astronomers, Alexander the Great decided not to attack Egypt and went to India instead."
520,"I came here to see if there was something I could do to help, but there doesn't seem to be anything for me to do."
521,"I know you're upset about your car being totaled, but you weren't injured and you should be thankful to be alive."
522,The World Health Organization says alcohol abuse is the third leading cause of death and disability in the world.
523,"Babies can become dehydrated from a high fever, so I was told that it would be better to send him to the hospital."
524,"Did you know that in Japan, if you have a tattoo, you won't be allowed to bathe in many of the hot spring resorts?"
525,"Everybody has a right to his own opinion. However, sometimes it's better not to tell anybody what that opinion is."
526,The Himalayas were formed by the collision of the tectonic plates of India and Eurasia about 50 million years ago.
527,The police can't find a single person who remembers seeing you where you said you were on the night of the murder.
528,"Tom likes Mary, but Mary likes John. To make matters even more interesting, John likes Alice, but Alice likes Tom."
529,Tom was sad when he discovered that Mary was a gold digger and Mary was sad when she discovered that Tom was poor.
530,What kind of a parent would leave their child unattended in the car outside the pub while they're inside drinking?
531,Witnesses told police that the train was travelling way over the speed limit when it derailed going around a bend.
532,The Belo Monte dam in Brazil is a controversial project because of its impact on the environment and native people.
533,"Tom's constant arguing irritates some of his classmates. However, most of the class has just learned to ignore him."
534,"How's the trouble and strife? is an example of a sentence using Cockney rhyming slang. It means ""How's your wife?"""
535,Getting your message across is much more important than trying to say it exactly like a native speaker would say it.
536,"Over 100 tons of dust and sand-sized particles bombard the earth every day from space, most of which goes unnoticed."
537,The typical elements of a foreign culture are changed into the typical elements of the local culture of translators.
538,"Tom tried to sell his old VCR instead of throwing it away, but no one would buy it, so he ended up throwing it away."
539,A man touched down on the moon. A wall came down in Berlin. A world was connected by our own science and imagination.
540,"Being happy doesn't mean that everything is perfect, but rather that you've decided to look beyond the imperfections."
541,Dr. Zamenhof believed that a language belongs to the people who speak it which is why he never copyrighted Esperanto.
542,Every student who has graduated from our university has studied English with a native speaker for at least two years.
543,"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn."
544,It took Tom several hours to assemble a bunk bed that the instructions said would take less than an hour to assemble.
545,"Nobody has asked you to agree, but can't you at least accept that there are people who hold different views from you?"
546,"Tom didn't know the meaning of ""anglophobia,"" so he did a quick web search to see if he could find out what it meant."
547,"Even though computer programmers may use semicolons every day, nowadays most people only use semicolons for emoticons."
548,"I had never eaten any kind of Thai food, so I was pretty excited about going to a Thai restaurant with my grandmother."
549,"The room didn't look very good after Tom painted it, because he didn't even bother to wash the walls or ceiling first."
550,"When does your sister come back from work? ""I don't know, but I think she'll arrive at home a few minutes before me."""
551,"Four of my favorite Christmas carols are ""Silent Night,"" ""Joy to the World,"" ""The First Noel"" and ""Away in the Manger."""
552,"My friend recommended that I shouldn't buy an iPad yet, but to wait until I see what Apple's competitors come out with."
553,"Roger Miller entered the United States Army at the age of seventeen. He was sent to an army base near Atlanta, Georgia."
554,A trade delegation has gone to Japan ahead of the Prime Minister to crunch the numbers with their Japanese counterparts.
555,"Anyone whose comfort level depends on what someone else is wearing really needs to take a long, hard look at themselves."
556,I think it's highly unlikely that Tom was not aware that he wouldn't be allowed to enter the museum without his parents.
557,I was lucky that the policeman didn't give me a ticket for making a U-turn at an intersection that had a no U-turn sign.
558,Tom isn't your average guy. He doesn't like things most guys like and he doesn't like to do things most men enjoy doing.
559,Cesar Chavez asked that strikers remain non-violent even though farm owners and their supporters sometimes used violence.
560,"Even now, I occasionally think I'd like to see you. Not the you that you are today, but the you I remember from the past."
561,We should spend our time creating content for our website rather than wasting time worrying about minor cosmetic details.
562,A lot of people who have up until now been spending money having a good time now need to be more careful with their money.
563,"It's very easy to sound natural in your own native language, and very easy to sound unnatural in your non-native language."
564,The difference between the right word and almost the right word is the difference between lightning and the lightning bug.
565,"Your English is grammatically correct, but sometimes what you say just doesn't sound like what a native speaker would say."
566,I have Japanese and Chinese friends who speak to each other in English since that is the only language they have in common.
567,"All the doctors say that I shouldn't drink coffee, but, despite that, I do have a bit now and then when I'm in good company."
568,Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.
569,One thing I don't like about the iPad is that you can't easily install apps that aren't available through Apple's App Store.
570,"Jingle Bells, a popular song around Christmas time, is not really a Christmas song. The lyrics say nothing about Christmas."
571,"I used to watch this anime a lot when I was a kid, but I can't quite remember what happened to the hero in the final episode."
572,"If your company primarily does business with America, then you should be studying English with a native speaker from America."
573,The English language is undoubtedly the easiest and at the same time the most efficient means of international communication.
574,"Instead of giving each other Christmas presents this year, we donated the amount we would have spent on presents to a charity."
575,"Singer and actress Selena Gomez started her career at age seven on the children's public television show ""Barney and Friends."""
576,"A good newspaper reporter takes advantage of what he learns from any source, even the ""little bird told him so"" type of source."
577,Food prices are at their highest level since the United Nations Food and Agriculture Organization began keeping records in 1990.
578,I've heard that it's impossible to sound like a native speaker unless one starts speaking the language before the age of twelve.
579,"No matter what your profession, or how happy you may be in it, there are moments when you wish you had chosen some other career."
580,"When Tom was a kid, he used to collect his father's cigarette butts until he had enough tobacco to roll a cigarette for himself."
581,Satellite imagery is being used in an effort to narrow down the area in the Indian Ocean where floating debris has been observed.
582,"Honey, I know the budget is tight, but do you think we could splurge a bit and have a night out at a fancy restaurant this weekend?"
583,"Tom went to a fortune teller at the town fair and was told that someone would come into his life whose first name started with ""M""."
584,"A committee is a group of people who individually can do nothing, but who, as a group, can meet and decide that nothing can be done."
585,"Oh, sure, I studied English in my school days. But it wasn't until two or three years ago that I really started taking it seriously."
586,"In 1964, Roger Miller agreed to record sixteen songs. One of those songs was ""Dang Me."" It became his first number one selling record."
587,"Tom hadn't washed clothes in a long time, so he searched through his dirty clothes to see if there was something clean enough to wear."
588,One way to lower the number of errors in the Tatoeba Corpus would be to encourage people to only translate into their native languages.
589,I want a religion that respects the differences that exist between people and that states that each individual has their own personality.
590,"She has a boyfriend she's been going out with since high school, but she feels their relationship is in a rut, so she's become discontented."
591,Always use distilled water in steam irons because using ordinary water will cause a mineral build-up over time that will clog the steam holes.
592,I think it's a shame that some foreign language teachers were able to graduate from college without ever having studied with a native speaker.
593,"You can fool some of the people all of the time, and all of the people some of the time, but you can't fool all of the people all of the time."
594,"If you translate from your second language into your own native language, rather than the other way around, you're less likely to make mistakes."
595,"People speak so much about the need for leaving a better planet for our children, and forget the urgency of leaving better children for our planet."
596,The Australian Prime Minister has said that he does not intend to engage in megaphone diplomacy with Egypt over the jailing of an Australian journalist.
597,"You may not learn to speak as well as a native speaker, but you should be able to speak well enough that native speakers will understand what you have to say."
598,"If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language."
599,"It's still too hard to find a job. And even if you have a job, chances are you're having a tougher time paying the rising costs of everything from groceries to gas."
600,"You can't easily put photos on an iPad from more than one computer. However, you can email photos to yourself from various computers and download these photos to your iPad."
601,"You can't view Flash content on an iPad. However, you can easily email yourself the URLs of these web pages and view that content on your regular computer when you get home."
602,"A mistake young people often make is to start learning too many languages at the same time, as they underestimate the difficulties and overestimate their own ability to learn them."
603,"No matter how much you try to convince people that chocolate is vanilla, it'll still be chocolate, even though you may manage to convince yourself and a few others that it's vanilla."
604,"In 1969, Roger Miller recorded a song called ""You Don't Want My Love."" Today, this song is better known as ""In the Summer Time."" It's the first song he wrote and sang that became popular."
605,A child who is a native speaker usually knows many things about his or her language that a non-native speaker who has been studying for years still does not know and perhaps will never know.
606,"There are four main causes of alcohol-related death. Injury from car accidents or violence is one. Diseases like cirrhosis of the liver, cancer, heart and blood system diseases are the others."
607,"There are mothers and fathers who will lie awake after the children fall asleep and wonder how they'll make the mortgage, or pay their doctor's bills, or save enough for their child's college education."
608,A carbon footprint is the amount of carbon dioxide pollution that we produce as a result of our activities. Some people try to reduce their carbon footprint because they are concerned about climate change.
609,"Since there are usually multiple websites on any given topic, I usually just click the back button when I arrive on any webpage that has pop-up advertising. I just go to the next page found by Google and hope for something less irritating."
610,"If you want to sound like a native speaker, you must be willing to practice saying the same sentence over and over in the same way that banjo players practice the same phrase over and over until they can play it correctly and at the desired tempo."
611,"Tom hurt his left knee during practice, so John had to play the game in his place."
612,"Tom liked Mary for years, but at some point, his feelings for her changed to love."
613,Tom said he thought that it would be a big mistake to tell Mary what had happened.
614,"Tom took thousands of pictures during his vacation, but then never looked at them."
615,Tom wants to buy an eight-track player to put in the car his grandmother gave him.
616,"When I visited their apartment, the couple was right in the middle of an argument."
617,"When I was 10 years old, I thought that when I would be 16, my life would be cool."
618,A man's worth should be judged by his character rather than by his social position.
619,"As soon as I can get a decent video camera, I'll start making videos to put online."
620,"At the time of the accident, almost all of the passengers on the bus were sleeping."
621,"Because the voices of protest grew louder and louder, his speech couldn't be heard."
622,"Cats are aloof, guinea pigs are nervous, and dogs need constant love and attention."
623,Experts say coffee prices are rising mainly because people are willing to pay more.
624,"Generally speaking, college students have more free time than high school students."
625,He is by nature a kind person and is popular with the children in his neighborhood.
626,"I could have stayed a while longer, but I was getting tired, so I decided to leave."
627,"I have many friends who speak fluently, but still don't sound like native speakers."
628,I spend as much time working in the garden in one day as my brother does in a week.
629,I still have a lot of questions I want to ask you about your relationship with Tom.
630,I told you it was dangerous. The reason you got hurt was because you didn't listen.
631,"I'm thinking of going somewhere for a change of air, since my doctor advises me to."
632,"If you don't do what I tell you to do, I can't be responsible for the consequences."
633,"In our next class, we will study the days of the week, the months, and the seasons."
634,"In the U.S., it is illegal to torture people in order to get information from them."
635,Industrialization had a great influence on the development of the economy in Japan.
636,Insecticides are agricultural chemicals that exterminate insects harmful to plants.
637,"It was exceptionally cold last summer, and the rice crop was the worst in 10 years."
638,It was not until she finished reading the book that she noticed who had written it.
639,My grandmother used to use her sewing machine a lot up until about three years ago.
640,"No matter how many people tell him he made a mistake, Tom still insists he's right."
641,"Recently I have been feeling a little tired, so I have not gone swimming this week."
