0,1
"en: In State capture, the loser is the citizenry. Politicians influence award of government contracts to corrupt business people at inflated prices. The inflated prices are because the corrupt business people want to i) recover the money they spent to bankroll campaign, ii) sell the goods and services at a profit and iii) give part of the payment to the politicians so they remain connected. When the politicians get part of the payment they use part of the money for their personal projects and part of it for campaign materials and other political expenses. That is why the fight against corruption cannot be won if we continue using the same political campaign model. In fact, there are politicians who have established businesses out of money acquired in this way. Their businesses get contracts from the same government they stole capital from. In other words, our tax money has become business capital for greedy politicians and the businesses get contracts from government where they are paid by our tax money again. This is the height of impunity in Malawi. We all have a responsibility to stop this.","ny: A ndale akalandira ndalama kwa khuluku wa bizinezi amene walipidwa ndi misonkho yathu, iwo amayambitsa ma kampani amene amaphangiranso mwai wa bizinezi ku boma. Potero ndalama za misonkho yathu zikukhala mpamba woyambitsira bizinezi za a ndale a dyera ndipo bizinezi zake zimalipidwa ndi misonkho yathunso akaperekera katundu. Apa ndi pamene chisembwere chafika mdziko lathu lino. Tonse tiri ndi udindo wothetsa zimenezi. Chifukwa cha chiwiri n’chakuti zipani za ndale zimafuna ndalama zambiri zoyendetsera koma zilibe bizinezi iliyonse yopezera ndalamazo. Atsogoleri a ndale amasaka ndalama zoyendetsera chipani kugwiritsa ntchito njira za katangale kapena kuba ku boma."
"en: My fellow Malawians, let me illustrate how corruption causes poverty. Suppose there was money enough to construct three school blocks but due to corruption the price is inflated and the money can only construct two school blocks. Suppose each school block has two classrooms that can accommodate 60 learners. Further, suppose constructing a school block offers job opportunity to ten people as bricklayers, carpenters and others. By constructing two instead of three school blocks because of inflated prices, the results are as follows","ny: AMalawi anzanga, ndiloleni ndikufotokozereni mmene ziphuphu zimabweretsera umphawi. Tiyerekeze kuti panali ndalama zokwanira kumanga midadada itatu ya sukulu koma chifukwa cha katangale mtengo wakwera ndipo ndalamazo zingomanga midadada iwiri yokha. Tiyerekeze kuti mdadada uliwonse uli ndi makalasi awiri otha kukhala ana ophunzira 60. Komanso, tiyerekeze pomanga sukulu iliyonse, pakhala mwayi wa ntchito kwa anthu 10 ngati ma bilidala, akalipentala ndi ena. Pomanga midadada iwiri m'malo mwa itatu chifukwa cha katangale, zotsatira zake ndi izi"
"en: Three blocks would have made 360 learners move from learning under a tree to a proper classroom, but due to corruption only 240 learners will be in a good classroom. The other 120 learners will continue learning under a tree yet money was available to put them in a good classroom.","ny: Midadada itatu ikadapangitsa kuti ophunzira 360 asamuke kuchoka pakuphunzira pansi pa mtengo kupita ku kalasi yabwino, koma chifukwa cha katangale, ndi ana 240 okha omwe akhale ndi makalasi abwino. Ophunzira ena 120 akupitirira kuphunzira pansi pa mtengo ngakhalendalama zinalipo zowaika m’kalasi yabwino."
"en: Constructing three school blocks would create employment opportunities to 30 people. By constructing two, it means 10 people who would have some work to do still have no job.","ny: Kumanga midadada itatu kudakapereka mwayi wa ntchito kwa anthu 30. Pomanga awiri, zikutanthauza kuti anthu 10 omwe adakapeza ntchito yoti agwire, alibe ntchito"
"en: Since there is corruption, there is high likelihood that the two school blocks may be of substandard quality. They may need maintenance quicker than if construction was not marred with corruption. Additional resources are likely to be spent to rehabilitate the same school blocks when the resources would have been spent on other functions.","ny: Popeza pali katangale, pali chiopsezo kuti midadada ya sukulu ziwirizi ikhala yosalimba. Itha kufunika kukonzedwanso mwachangu kuposa momwe idakafunikira chikhala kuti ntchito yomanga siyinalowe ziphuphu. Ndalama zina zifunika kukonzanso midadada ya masukulu yomwewo pomwe zikanagwiritsidwa ntchito zina."
en: If children are learning under a tree; if there are no drugs in health facilities; if there are no all-weather roads in some areas; if jobs are scarce; if we Malawians are poor; one of the main causes is corruption.,ny: Ngati ana akuphunzira pansi pa mtengo; ngati mulibe mankhwala m'zipatala; ngati m'madera ena kulibe misewu yabwino; ngati ntchito zikusowa; ngati tiri osauka; chimodzi mwa zifukwa zazikulu ndi ziphuphu.
"en: Our approach to the fight against corruption starts from the process of getting into office. We will not do the traditional political campaign you have known. We will not do because we do not want to get money from corrupt business people so that when you vote us into office we serve them instead of serving you, Malawians.",ny: Njira yathu yolimbana ndi katangale ikuyambira pakalowedwe mu boma. Sitipanga kampeni (campaign) monga amachitira ena. Sititero chifukwa sitifuna kupeza ndalama kwa makhuluku a bizinezi kuti mukativotera titumikire iwo m’malo motumikira inu a Malawi.
"en: We will not form a political party because it is an expensive organization that contributes to temptation of political leaders to indulge in corruption and when in office, abuse public resources to fund the political party. You can relate this to some of the revelations that are coming out now of how public institutions financed activities of a political party. We do not want to tie ourselves to the yokes that have chained the others. More importantly, not forming a political party means that there will be no group of people (members of the ruling party) that feels and behaves as more important than the rest of Malawians. Between me and the public service, there will be no person or group of people to terrorize public servants on the premise that they are the ruling party members.","ny: Sitipanga chipani cha ndale chifukwa ndi chinthu chofuna ndalama zambiri chimene chimapangitsa kuti atsogoleri andale akopeke ndi katangale ndipo akakhala paudindo amawononga chuma chaboma popereka ndalama ku zipani. Sitikufuna kudziyika ku goli limene lakhala likulemera atsogoleri ena ndikuwapangitsa kuti nkhondo yothana ndi katangale isatheke. Tawona zimene zimachitika kuti chipani chikalowa m’boma iwo a mbali yolamula amadzimva kuti ndi anthu ofunika kuposa a Malawi ena. Ina mwa milandu imene tikumva yokhudza katangale ikukhudza anthu amene ndi akuluakulu a chipani amene amawopseza wogwira ntchito ku boma pogwiritsa ntchito mphamvu za ku chipani. Ine ndikufuna Malawi amene pasadzakhale wina wosokoneza boma poganiza kuti ali ndi mphamvu kapena ndiwofunika kwambiri kuposa a Malawi ena.
"
"en: It is not an exaggeration to say that political parties have been a disuniting factor so far in Malawi as they have been catalyst for tribalism and nepotism. You may appreciate the observation that in some political parties, it does not matter how loyal and qualified a member is, if they do not come from a particular region or from a particular tribe they cannot be voted president of a party to have a chance to contest as president of a country. We must for a moment dismantle this construct and create a political system that gives hope to every Malawian everywhere that they can be anything including President of Malawi if they work hard, have qualifications and have the integrity to serve their nation. I am convinced that being a president without a political party will foster nation building.","ny: Ndikukhulupirira kuti mugwirizana nane kuti zipani zakhala gawo limodzi lolimbikitsa tsankho potengera chigawo chochokera ndi mtundu. Zipani zina ndithu ngakhale membela atakhala wokhulupirika chotani akhala ndizomuyenereza, sangasankhidwe kukhala president wa chipani kuti akhale ndi mwai woyimira u president wa dziko ngati sachokera chigawo china kapena ngati si wa mtundu wina. Ndine wotsimikizika kuti kukhala president opanda chipani kudzapanga ntchito yoyanjanitsa a Malawi kukhala yopepuka."
"en: Additionally, as your leader, I will have all my focus on running government, rather than divide my focus between running government on one hand and running a political party on the other hand.","ny: Kuphatikiza apo, mudzakhala ndi mtsogoleri amene chidwi chake chonse chidzakhale kuyendetsa dziko kuti titukuke mmalo mokhala ndi chidwi chogawanika pakati poyendetsa dziko ndi kuyendetsa chipani."
"en: Fighting corruption is a war. Being a war, it needs troops who are loyal to their nation, troops who are well-trained and well-resourced. Above all, troops who are best commanded. The agencies responsible for fighting corruption are the troops. The President is the commander. Like in a military war, if troops are compromised, it is difficult to win the fight against corruption. If the commander is compromised, it is impossible to win the fight against corruption.","ny: Nkhondo yothana ndi katangale ndi ngati nkhondo ya asilikali. Imafunika kuti mabungwe amene udindo wawo ndi kuthana ndi katangale akhale ndi anthu amene ndi wokonda dziko lawo, wophunzira bwino, ali ndi zipangizo zofunika zokwanira komanso akutsogoleredwa bwino. Wotsogolera nkhondo imeneyi ndi President. Ngati mabungwe amenewa kapena anthu ena mu mabungwe amenewa angakhale wogwirizana ndi anthu amene akukhudzidwa ndi katangale kweni kweni ngati President angakhale wogwirizana ndi anthu a katangale, sizingatheke kupambana nkhondo imeneyi."
"en: For the reason that we will not get into office through a corrupt process, you can be assured that my team and I will fight against corruption decisively for we will not be haunted by our own involvement in the same. I will take it my prime responsibility that the fight against corruption is ably commanded and that if there are elements of compromised loyalty in the troops, I take corrective measures. I can guarantee that under my stewardship, no effort will be spared to fight corruption.","ny: Pachifukwa chakuti sitidzalowa m'boma ndi njira za ziphuphu, khulupirirani kuti tidzathetsa katangale. Nkhondo yolimbana ndi katangale idzakhala yosatsamwitsa chifukwa sitidzacheuka m’mbuyo nkumati koma awa tiwamanga bwanji pakuti adathandizanso ife. Ife tidzakutumikirani aMalawi mowona mtima. Ine ndidzatsogolera nkhondo imeneyi modzipereka, mwaukadaulo ndi mowona mtima."
en: The future of Malawi leadership,ny: Tsogolo la utsogoleri wa Malawi
"en: Fellow Malawians, I understand the frustration among well-meaning Malawians. I am aware that some of you have lost interest in voting in next election because we have been disappointed by the political administrations we have had. I come to give hope. I come to restore the courage we always have had, believing that as citizens, power is in our hands to make a leadership that has i) integrity, ii) technical and administrative competence and iii) desire to serve.","ny: A Malawi anzanga ndikumvetsa kukhumudwa komwe kulipo pakati pa aMalawi akufuna kwabwino. Ndikudziwa kuti ena mwa inu mwataya chidwi chofuna kuvota pachisankho chikubwerachi chifukwa takhumudwitsidwa ndi utsogoleri kwa nthawi yayitali. Ndabwera kudzapereka chiyembekezo. Ndabwera kudzabwezeretsa kulimba mtima komwe takhala nako, pokhulupirira kuti monga nzika, mphamvu ziri m'manja mwathu kupanga utsogoleri womwe uli ndi i) Ungwiro, ii) Ukadaulo ndi iii) Kutumikira."
en: The 2025 presidential election will be a ‘referendum’ - a choice between maintaining impunity versus ending impunity; a choice between maintaining mediocrity versus a launch of meritocracy; a choice between politicians versus leaders.,ny: Chisankho cha pulezidenti cha 2025 chidzakhala ‘referendum’ - kusankha pakati pa kupitiriza kuponderezedwa kapena kuthetsa utsogoleri wopendereza nzika zake. Kusankha kupitiriza za chibwana zolephera kuyendetsa chuma ndi boma moyenera kapena kuyamba utsogoleri wa ukadaulo woyendetsa chuma ndi boma. Kusankha pakati pa andale kapena atsogoleri.
"en: To echo the words of Barack Obama, former President of the USA, “we did not inherit the country from our ancestors so we can feel a sense of entitlement, rather we borrowed it from our children and the generations to come and therefore we have an obligation to hand over a better country to them”.","ny: Ndibwereze mawu a Mr. Barack Obama, mtsogoleri wakale wa USA, ""ife sitinatenge dziko kuchokera kwa makolo athu kotero kuti titha kuliwononga chifukwa ndi lathu, m'malo mwake tidabwereka dzikoli kwa ana athu ndi mibadwo ikubwera, kutero tikuyenera kulisamala kuti tidzabweze dziko labwino.”"
"en: We have a responsibility to change the narrative that politics is for the few rich Malawians more so those getting rich through corruption and theft of public resources. We have a duty to change the narrative that politics is for crooks, liars, the incompetent and that politics is risky.","ny: Tiri ndi udindo wosintha kaganizidwe kakuti ndale ndi za anthu wolemera kweni kweni pamene kulemerako kudabwera chifukwa cha kuba ndalama zathu za misonkho. Tiri ndi udindo wotembenuza maganizo kuti ndale ndi za anthu za makhuluku, a bodza, osatha ntchito komanso kuti ndale ndi zowopsa."
"en: My colleagues and I are at your service and are determined to make personal sacrifices for the sake of presenting a real choice to you in the next elections. We come so that as voters you are not faced with a choice between lemons and grapefruits (manyumwa), for both are sour. We come to be your real choice. We know the contenders are heavily armoured with resources, including those they stole from our taxes.","ny: Ine ndi anzanga takonzeka kukutumikirani. Tadzipereka nsembe podziyika pa chiopsezo chomwe chingabwere ndi cholinga chakuti inu mukhale ndi kusankha kwenikweni. Tabwera kuti musachite jenkha kusowa chosankha pakati ma mandimu ndi manyumwa pakuti zonse ndizowawasa. Ife tabwera kuti mukhale ndi atsogoleri amene muwasankhe mokondwera kuti mwasankha bwino. Tikudziwa kuti amene tidzapikisane nawo ali ndi ndalama zambiri, kuphatikiza zomwe adaba ku misonkho yathu."
"en: We are armoured with faith. We believe we shall succeed with your support. We are ready to govern and to do so competently. I have the right training, experience and exposure to public policy to competently develop the economy and run the public service. As you may appreciate, the duty of any government is two-fold; i) to develop the economy with the aim of improving people’s living standards and ii) to manage the public service so it can deliver public goods and services to people professionally, efficiently and effectively. I promise to deliver on these two cardinal roles in an excellent manner.","ny: Ife chida chathu ndi chikhulupiriro. Tikukhulupirira kuti tidzapambana ndi thandizo lanu. Ndife okonzeka kutsogolera dziko lathu mwaukatswiri. Monga mukudziwa ntchito za utsogoleri wa dziko ziri pawiri motere i) kudziwa kayendetsedwe ka chuma kuti miyoyo ya anthu ipite patsogolo, ii) kudziwa kayendetsedwe ka boma kuti ntchito zotumikra anthu zidziyenda bwino. Ine ndidzagwira ntchito imeneyi modzipereka, mwaukadaulo ndi mowona mtima."
"en: I appeal to you Malawians to support my candidacy. I am ready to serve you. In a special way, I encourage the youth to take 2025 election as uniquely important for I, one of their own, will be on the ballot paper. I am going to run the government in ways that will prove that the youth in Malawi are ready for the task. I will take it my additional responsibility to bring public confidence in the youth and in doing so clear a way for all youth who seek elected positions. I promise a government that will be at your service. I promise an administration that will be the moral campass of the nation.",ny: Ndikukupemphani nonse a Malawi kuti mudzandivotere. Ndakonzeka kukutumikirani. Mwapadera ndikulimbikitsa achinyamata amene kwa nthawi yoyamba akhale ndi mwai wosankha nzawo wachinyamata. Ine ndidzayendetsa boma mozindikira kuti ndiri ndi udindo wapadera woliwonetsa dziko kuti achinyamata takonzeka kutsogolera. Potero ndikukalambula njira ya achinyamata amene adzifuna kuyima pa chisankho. Ndikulonjeza utsogoleri umene udzakhala mulozo wa khalidwe la ungwiro. Zomamva nkhani zowawitsa mutu zakuba ndi katangale zokhudza anthu amene ayandikana ndi utsogoleri wa dziko zitha 2025.
"en: Let us together make 2025 election a turning point for Malawi. Let us together uproot the breed of corrupt, incompetent and nepotistic politicians and plant a new breed of leaders that will be a symbol of integrity, competence and service. As late Lee Kuan Yew, founding Prime Minister of Singapore said, “we need the best and ablest in politics, not charlatans with a gift of the gab”. Let us together sanitize politics in Malawi. Politics will become clean when clean people replace the dirty ones who have made it dirty.","ny: Chisankho cha 2025 ndi mwai wosintha zinthu. Tizule mbewu ya anthu a ndale a katangale, tsankho ndi kusadziwa ntchito ndipo mmalo mwake tidzale mbewu ya atsogoleri omanga umodzi, wodziwa ntchito ndi a ungwiro amene atumikire tonse a Malawi. Pobwereza mau a malemu Lee Kuan Yew, mtsogoleri woyamba wa dziko la Singapore, “tikufuna anthu wodziwa ntchito ndi abwino mu ndale, osati wongobwebweta pamene sakudziwa chirichonse”. Tiyeni limodzi tikonze ndale m’dziko lathu. Ndale sizikhala zabwino ngati tilekerera anthu wolakwika omwewo. Ine ndayambitsa bwerani tithandizane."
"en: I am appealing to every Malawian to engage our conscience and think of a Malawi we would want our children and grandchildren to live in. It does not matter what our current position is, what matters is the responsibility we have to ensure we hand over a better country to our children and grandchildren. You may be a serving member of the cabinet, an advisor, a senior public officer, a political party member who genuinely believes things are not the way you would have wanted to serve the nation. I ask you to support my candidacy. Tell your family and relatives to vote for me in 2025 presidential election.","ny: Ndikupempha aliyense adzifunse chikumbumtima chake ndikuganizira dziko limene tikufuna ana ndi zidzukulu zathu adzakhale. Nkutheka pakanali pano tiri pa chinyezi. Nkutheka muli mbali imodzi ya utsogoleri umene walephera kutumikira a Malawi. Mwina ndinu nduna, mulangizi, wamkulu mu boma, akukuakulu ndi mamembala a chipani, koma mukumva kutsutsika mu mtima kuti mmene zinthu ziriri si mmene mukadafunira kuwatumikira aMalawi. Ndikukupemphani mukhale mbali yanga. Awuzeni a pa banja anu ndi abale onse kuti adzindivotere chisankho cha 2025. Tiyeni tiyang’ane tsogolo la dziko."
"en: I request you all who are in support of my candidacy to convince others around you. Convince your family members, your village mates, your village head leaders.Tell them the candidate of choice in 2025 presidential election has been identified and he is Milward Tobias. That will be your greatest contribution to my campaign.","ny: Ndikupempha nonse amene mwatsimikiza kuthandizira ulendo umenewo kuti muwatsimikizire ena, aja mudaphunzira nawo limodzi ku primary sukulu, aja mumacheza nawo ku mudzi, amfumu a mudzi mwanu, awuzeni kuti wodzamuvotera chisankho cha 2025 wapezeka ndipo ndi Milward Tobias. Mukatero mwandithandiza kwambiri."
"en: To my colleagues; the road will be tough but we are ready for it and we will succeed. We will succeed because we are carrying the hopes of many Malawians who have been yearning for a leadership that can serve them, not one that serves a small group and corrupt business people. Malawians are looking for a leadership that has the integrity to tell the truth, to be accountable and transparent and to develop Malawi. It is high time Malawians became proud again of being Malawian.","ny: Kwa anzanga; ulendowu ukhala ndi zokhoma koma tikafika ndipo tidzawina chisankho. Tidzawina chifukwa tanyamula chiyembekezo cha aMalawi ambiri omwe akhala akulakalaka utsogoleri womwe chilungamo, wonena zoona, wodalirika, wochita zinthu poyera komanso wotukula miyoyo yawo ndi dziko lathu. Ndi nthawi yoti aMalawi anyadirenso kutchedwa m’Malawi.ungawatumikire, osati wotumikira kagulu kakang'ono komanso makhuluku a bizinezi. AMalawi akufuna utsogoleri wa chilungamo, wonena zoona, wodalirika, wochita zinthu poyera komanso wotukula miyoyo yawo ndi dziko lathu. Ndi nthawi yoti aMalawi anyadirenso kutchedwa m’Malawi."
"en: Some people will discourage us, despise us and all sorts of negatives. That must encourage us. They will attack us because we are a serious contender. We must remain focused on our mission. The rebuilding of Malawi requires our resilience. We are the team to lead in rebuilding Malawi.","ny: Apezeka wotibwezera mbuyo, wotinyoza, koma maso athu akhale pa cholinga chathu chimene ndikutsogolera aMalawi kutuluka mu ukapolo tiriwu. Kumanganso dziko la Malawi kufuna kulimba mtima kwathu. Ndife gulu lomwe titsogolere pomanganso Malawi."
"en: Fellow Malawians, we will campaign as Nzika Coalition and I will contest as an independent candidate. Nzika Coalition means the coming together of ordinary citizens and all well-meaning Malawians as opposed to coalition/alliance of politicians or political parties. Our pillars are i) integrity, ii) competence and iii) service. Our slogan is ‘My vote My destiny’.","ny: A Malawi anzanga, tichita kampeni modziwika ndi kuti Nzika Coalition ndikupikisana ngati munthu woyima payekha. Nzika Coalition ikutanthauza kubwera pamodzi kwa nzika posiyanitsa ndi migwirizano imene tayiwona ya anthu a ndale ndi ya zipani za ndale. Ngodya zathu ndi i) Ungwiro, ii) Ukadaulo iii) Kutumikira. Ndipo tikumati 'Voti yanga Tsogolo langa'."
"en: Time flies, next elections will come soon, let us pray to God to give us life, courage and protection. Malawi will rewrite her history.","ny: Masiku amathera ku chitseko. Chisankho chibwera posachedwa. Tiyeni tipemphere kwa Mulungu kuti atipatse moyo, kulimba mtima ndi chitetezo. Malawi alembanso mbiri yake."
en: God bless us all! God bless Malawi! Thank you very much!!,ny: Mulungu atidalitse tonse! Mulungu adalitse Malawi! Zikomo kwambiri!!
"en: Group village head Kambiri said apart from improving yield and nutrition in his community, Trade programme will also protect farmers from unscrupulous vendors who exploit them.","ny: Mfumu Kambiri idati kupatula kupititsa patsogolo zokolola komaso zokudya mwa thanzi mu dera lake, ndondomeko ya malonda ithandiziraso kutetezera alimi kwa akamberembere ogulitsa omwe malonda omwe amawagwiritsa ntchito mongofuna kupeza phindu mwaiwo okha."
"en: In the Central Region, we are promoting soya bean, groundnuts, sunflower and potato and in the North we are focusing on honey and beef.","ny: Mu Chigawo chapakati tikulimikitsa Soya, Mtedza, Mpenda Dzuwa ndi mbatata ndipo ku Mpoto"
"en: The minister told the House through the budget, the government was hoping to implement policy reforms that enhance resource mobilisation accompanied by prudent expenditure management to ensure that the country’s debt is put on a downward trajectory.","ny: Nduna inawuza nyumba yamalamulo kudzera mu ndondomeko ya za chuma, kuti boma limayembekezera kukhazikitsa ndondomeko yatsopano yomwe ilimbikitse kusokhanitsa pamodzi zipangizo zoyendetsera ntchito molingana ndi kagwilitsidwe ntchito kabwino ka ndalama, ndondomekoyi ithandiza kuchepetsa ngongole."
"en: The minister reported that during the 2022/23 financial Year, government constructed community technical colleges in Nkhotakota, Chikwawa, and Chiradzulu.","ny: A Nduna anena kuti mu chaka cha 2023/ 2024 amanga sukulu zamanja ku Nkhotakota, Chikwawa ndi Chiradzulu"
en: But who made anyone an expert in matters of the heart? Who are we to judge what or who anyone decided to fall in love with? Do we know what attracts people to each other? Do we even understand how they met or their circumstances herein? Do we even know what binds the two?,ny: Koma ndindani amene anapanga aliyese katsiwiri pa nkhani zachikondi? Ife ndindani kuti tiweruze wina wake pa chiganizo cha amene angagwe naye mu chikondi kapena chomwe angagwe nacho muchikondi? Kodi tikudziwa chomwe chimakoka/chimadolola ntima munthu wina ndi nzake kuti agwe mu chikondi? Koma tikuvetsetsa nkomwe momwe anakumanilana kapena chomwe chinachititsa? Tikudziwa nkomwe chomwe chinawamanga pamodzi anthu awiriwa?
"en: Mr Hwesha , a primary school teacher for EUTHINI zone being beaten by his own father because of stealing his cattle and selling them . Cattle recovered and now at Mzimba police.","ny: Bambo Hwesha, a phunzitsi aku Euthini Pulayimale amenyedwa ndi bamboo awo chifukwa chakuba ngo’mbe ndizikugulitsa. Ngombe zapezeka ndipo tsopano zili ku polisi ya Mzimba."
"en: Msume says, Cosmos, has on Monday pleaded guilty to the theft charges before the court of law.",ny: Msume Wati Cosmos wapezeka olakwa pa bwalo la khoti lolemba pa mulandu wakuba
"en: Minister of Homeland Security, Ken Zikhale Ng'oma, has donated his net salary for March, which is K1.5 million, to young men (adzukulu) who worked to rescue others during the disaster.","ny: Nduna yoona za Chitetezo chadziko, Ken Zikhale Ng’oma, yapeleka ndalama yake ya mwezi wa Malichi yokwana wani miliyoni faifi handiledi kwacha, kwa adzukulu omwe anagwila ntchito yopulumutsa anthu nthawi ya Ngozi ya dzidzi."
"en: Since then, they have not set foot in South Africa after a warrant of arrest was issued against them.",ny: Kuchokera Pamenepo sanapiteso ku South Africa Chitsimikizo choti amumanga chitapelekedwa
en: He says it is sad that Malawi is yet to reach 500 megawatts as its national capacity.,ny: Ndizokhumudwitsa kuti Mpaka pano Mphavu zamagetsi Ku Malawi Sizinafikebe Zikwi zisanu
"en: ""We have leant big lessons that we made a big mistake in 2016 and its high time we revisit the Electricity Act,"" He said.","ny: Taphunzira Phunziro lalikulu kuti tinalakwitsa mu 2016 ndipo tsopano nthawi yakwana yoti tioneso lamulo la za Magetsi', iwo adatero"
"en: She said: “To achieve that, we are promoting dairy farming in the South.",ny: Iye adati kuti tikwaniritse zimenezi tikulimbikitse ulimi wa nkaka ku south Africa
en: Mphonda added that they expect to recruit new contractors to finalise the works.,ny: Mphonda adaonjezera kuti akuyembekezera kulemba ma kontilakita a tsopano kuti amalizitse ntchito
"en: The project, valued at K650 million, was scheduled to be completed in 2022, the website further says.","ny: Pulojekiti yokwana MK650 miliyoni kwacha imayembezekela kumalizika mu 2022, Webusaiti inapitiliza kunena choncho"
"en: While others are trying everything possible to unite and at least speak with one voice, there is one person who thinks this moment is all about him—former president Peter Mutharika.","ny: Pomwe ena akuyesetsa kuyanjanitsa anthu ndi kuti mwina aziyankhula ndi mawu amodzi, pali munthu wina yemwe akuganiza za iye yekha"
"en: “Currently, we are only issuing passports to those who have got emergencies such as medical evacuation, government trips and students flying out for studies,” he said.","ny: Pakali pano ziphaso zotulukira mudziko zikupelekedwa kwa anthu omwe ali ndi zadzidzi monga opita kuchipatala, ma ulendo a boma ndi ophunzira omwe akukaphunzira kunja, iye adatero"
en: He said a passport is a right for every Malawian and it is not something that people should treat as luxury.,ny: Iye adati Chiphaso chotulukira mayiko ena ndi ufulu wa Malawi aliyese kukhala nacho ndipo anthu asachitenge ngati chamanyado
en: We promise to handle your information with care,ny: Tikulonjeza kusamala unthenga wanu mosamala
"en: Sorry, something went wrong","ny: Pepani, china chake chinalakwika"
"en: Speak up, contribute here!","ny: Yankhulani, pelekani maganizo anu pano!"
"en: If you know someone with heart problems, please inform them. This is for free.","ny: Ngati mukudziwa winawake ali ndi vuto la ntima, chonde tidziwitseni.Izi ndi za ulele"
"en: Good morning friends. Queen Elizabeth Central Hospital will be receiving Cardiologists who will treat patients with heart problems from 8th May to 13th May, 2023.","ny: Mwadzuka bwanji Anzanga. QECH ikhala ikulandila dokotala wa za mtima yemwe adzakhale akuthandiza odwala omwe ali ndi vuto la mtima kucjokera pa 8 Meyi mpaka pa 13 Meyi, 2023"
en: People will judge me and say what they want to say but I believe only God has the final say.,ny: Anthu adzandiweruza ndiposo adzanena zomwe akufuna kunena koma ine ndimakhulupilira mulungu ndiyemwe ali ndi chonena chomaliza
en: Martse died last year after succumbing to fire burns.,ny: Martse anamwalira chaka chatha kamba kamabala a moto
en: The council has since issued Nyirenda with a warning letter.,ny: Khonsolo yamupatsa Nyirenda kalata ya chenjezo
en: Stay calm.,ny: Dekhani
en: Answer me.,ny: Ndiyankheni/ndiyankhe
"en: You can dance, can't you","ny: Utha kuvina, sichoncho?"
en: I passed by her house yesterday,ny: Nnadutsa panyumba pa kwawo dzulo
en: He is fluent in French.,ny: Amayankhula french bwino
en: Tom asked me what I had been doing,ny: Tom aadandifunsa zomwe ndakhala ndikupanga
en: A girl in karate uniform breaking a stick with a front kick.,ny: Tsikana wavala uniform yachikalate waphwanya ndodo ndi theche lakutsogolo.
en: People are fixing the roof of a house,ny: Anthu akukhoza denga la nyumba
en: A group of people standing in front of an igloo.,ny: Gulu la anthu la ima kutsogolo kwa nyumba
en: A man in a vest is sitting in a chair and reading a magazine,ny: Mwamuna wavala vest wakhala pampando ndipo akuwerenga magazine
en: There are many people standing outside of a building.,ny: Pali athu ambiri omwe ayimilira kunja kwa chimango/ nyumba
en: A teenager plays her trumpet on the field at a game,ny: Wachisodzera anayimba lipenga pamalo amasewerowo
en: The young lady is looking at the pizza,ny: Nzimayi wachichepere akuyanga'na Piza
en: He never mentioned that journey .,ny: Sanatchuleko za ulendo umenewo
"en: After two years in hiding , my grandfather appeared in London .","ny: Patatha zaka ziwiri akubisala, agogo anga anawoneka ku Landani"
en: He was never right again .,ny: Iyeyo sanakhozepo
"en: Now , we follow state and local regulations .","ny: Tsopano, timatsatila boma ndi malamulo omwe alipo."
en: You can do a lot of things,ny: Utha kupanga zinthu zambiri
"en: So I immediately called her up , of course","ny: Ndipo mpopompopo ndinamuitana, ndichocho"
en: This is very promising .,ny: Zili ndi tsogolo
"en: I mean , at the end , will he be able to work ?","ny: Ndikutathauza, kumapeto, atha iyeyo kugwira ntchito?"
en: This is why we are here .,ny: Ichi ndichifukwa chake tili pano
"en: When we give people the opportunity to cheat , they cheat .","ny: Tikawapatsa athu danga lonama/ kuwuzilana, amanama/amauzilana."
"en: Do I have a place , a venue , in mind when I write ?",ny: Ndili ndi kuthekera kodi kukhala ndi malo maganizo ndikamalemba?
en: This is the enemy .,ny: Uyu ndi mdani wanga
en: Just people sending their pictures .,ny: Athu kugotumiza zithunzi.
"en: And when you turn the switch off , the light goes off .","ny: Ndipo ukazimitsa siwitchi,"
en: Some drivers feel its not fair that some traffic can go through while they have to wait. Something has to be done before things turn violent,ny: Oyendetsa galimoto akuona kuti sizabwino kuti magalimoto ena akudutsa pomwe ena akuyenera kudikila. Chinachake chikuyenera kuchitika zinthu zisanalowe chisokonezo.
en: I'm angry.,ny: Ndakwiya/nakwiya
en: I'm broke.,ny: Nilibe ndalama
en: I'm obese.,ny: ndine onenepa mopyola muyezo
en: Ignore it.,ny: Zitaye
en: Keep warm.,ny: Zitethetse
en: She smiled.,ny: anamwetulira
en: Who's that?,ny: Ndindani
en: I saw a dog.,ny: Ndinawona galu
en: No means no.,ny: Ayi amatanthauza Ayi
en: Tom was charged with drunken driving after he was involved in a car accident in Boston.,ny: Tom anazengedwa mulandu woyendetsa ataledzera atachita ngozi ku Bositoni
en: Tom's reached a point in his life where he has to make some pretty important decisions.,ny: Tom wafika pa nthawi/ mlingo pa moyo wake yakuti akuyenera kupanga zisankho zofunikira
"en: When the rock singer appeared on the stage, the audience at the concert clapped loudly.","ny: Pamene owiyimba wachamba cha Roku anaonekera pa nsanja , ku chilinganizo choyimba nyimbo anthu anawombera mmanja mokweza/kwambiri"
en: Who am I? Where do I come from? Is there life after death? What is the meaning of life?,ny: Ndine ndani/yani? Ndimachokera kuti? Kodi uliposo moyo wina ukatha moyowu/tikamwalira?Kodi tanthauzo la moyo ndi chani/chiyani?
