sentence,category,chich_gloria,chich_shadreck
Worrying is like a rocking chair; it gives you something to do but doesn't get you anywhere.,Online,"Kudandaula kuli ngati kugwedeza mpando, kumakupatsa zochita koma sikukutengera kulikose",Kudandaula kuli ngati mpando wozungulira. Umakupatsa iwe chochita komabe sufikira kuli konse.
I don't think it makes him a bad person just because he's decided he likes to eat horse meat.,Online,Sindikuganiza kuti izi zamupangitsa kukhala munthu oyipa chifukwa choti anapanga chiganizo chokonda kudya nyama ya Ngamira.,Sindikuganiza kuti zikumupagitsa iye kukhala muthu woipa kamba koti amakonda kudya nyama ya bulu.
I have recently used the services of his travel agency to book a cruise in the Mediterranean.,Online,Ndagwiritsa ntchito posachedwapa masevisi awo amayendedwe ku buka khuluzi ku meditireniyani,Ndagwiritsa ntchito posachedwa pompa ziphanso zake zoyendera kuti ndibuke sitima ya panyanja mu Mediterranea
I just want to let you know that I think you're the most beautiful woman that I've ever seen.,Online,Ndimangofuna ndikuuze kuti ndiwe mzimayi okongola kwambiri sinnawonepo.,Ndimagofuna kuti udziwe kuti ndikuganiza ndiwe mkazi wokongola yemwe sindinamuoneponso.
I never thought this rubber band would come in handy when I put it in my pocket this morning.,Online,Sindinaganizirepo kuti raba bandi uyu akhala thandizo lopezekeratu momwe ndimamuyika muthumba mmawa,Sindinaganizirepo kuti rubber band akwana manja pamene ndimuika mu nthumba la chovala changa mawawu.
"In some areas of the world, you can still get sued if you slander or libel a deceased person.",Online,"Mbali yina ya dziko, utha kusumilidwa ngati ukunyogodola kapena kulemba zoipa za muthu wakufa","Ma dera ena a dzikoli, ukhoza kusumilidwa kapena kuwukilidwa ndi munthu wakufa."
"No matter how carefully you choose your words, they'll always end up being twisted by others.",Online,"Ngakhale ungasankhe bwanji mau oyankhula, pamapeto pakabe amasinthidwa/amaphinduridwa ndi ena","Angakhale utayesera kusanthula zoyakhula zako, enabe amapezeka kuti alakwitsa dala zomwe unayakhulazo."
"She bought him a car, but he didn't have a driver's license so he couldn't drive it anywhere.",Online,"Iye anamugulira galimoto,koma iyeyo analibe chiphaso choyendetsera galimoto ndiye samayiyendera kulikose","Anamugulira galimoto, koma alibe chimphaso choyendetsera galimoto kotero sangayendetse kulikonse."
Tom and Mary were snuggled up to each other and Tom was whispering something into Mary's ear.,Online,Tom ndi Mary amatethetsana ndipo Tom amamunong'oneza Mary ku nkhutu kwake.,Tom ndi Mary amatethetsana ndipo Tom amamunong'oneza Mary ku nkhutu kwake.
"Tom would have liked to attend Mary's party. Unfortunately, he had other things he had to do.",Online,"Thomu akadakonda akanapita ku phwando la Mele. Mwatsoka, anali ndizochita zina","Tom anakakhala nawo pa mphwando la Mary. Mwatsoka lake, anali ndi zithu zina zoti apange pa nthawiyo."
We keep our most interesting thoughts and the most interesting side of ourselves hidden away.,Online,Timasunga maganizo athu osangalatsa ndi mbali yathu yosanglatsa kwambiri kwa ife tokha mobisa,Timasunga maganizo omwe ali osangalatsa ndipo mbali yoseketsa ya ife timaibisa.
"Considering all I've eaten all day is just one slice of bread, I'm not really all that hungry.",Online,"Kutengera zomwe ndadya tsiku lose ndangodya buledi silaiyisi imodzi, koma ndilibe njala kwenikweni","Poganizira kuti tsiku lonse ndadya slice imodzi ya buledi, ndilibe njala kwenikweni."
"I have the afternoon off today, so I plan to go to the park, sit under a tree and read a book.",Online,"Ndili pa ofu lero masana ano, ndiye ndakhoza zopita ku paki, kukhala pansi pa ntengo kuweranga buku","Masana sindigwira ntchito, kotero ndapanga dongosolo loti ndikhale pansi pa mtengo ndi kuwerenga buku."
"I realize that this may sound crazy, but I think I've fallen in love with your younger sister.",Online,"Ndazindikira kuti izi zitha kuveka zamisala, koma ndikuganiza kuti ndagwa m’chikondi ndi mchemwali wako wamngo’no","Ndikuzindikira kuti zimveka zachibwana, koma ndagwa mu chikondi ndi mlongo wako wang'ono unja."
I think Tom is going to be pretty mad when he finds out that the painting he bought is a fake.,Online,Nduganiza kuti Thomu adzakwiya kwambiri akadzazindikira kuti chopenta chomwe anagula sichenicheni/chabodza/chonamizira,Ndikuganiza kuti Tom azapega misala pang'ono akazazindikira kuti cha utoto chomwe anagula si chenicheni.
"I think if I talked more often with a native speaker, my English skills would improve quickly.",Online,"Nduganiza kuti ndinakamayankhulana pafupipafupi ndi mbadwa za chiyankhulo, kuthekera kwa chizungu changa kukanapita
patsogolo mwansanga","Ndikuganiza kuti nditamayakhulana ndi wodziwa chiyankhulochi, chigerezi changa chisintha mwa ubwino."
"I tried explaining the algebra homework to him, but it just went in one ear and out the other.",Online,"Ndinayesetsa kumufotokozera ntchito yakunyumba ya agebula, koma zimalowa khutu lina kutulukiraso lina","Ndinayesera kumufotokozera za ntchito ya kusukulu yolembera kunyumba zokhudza algebra, komabe zinagolowera khutu ili ndi kutulukira khuti linalo."
"If the universe is full of stars, why doesn't their light continually light up the entire sky?",Online,"Ngati dziko ndilo dzala ndi nyenyezi, nanga bwanji sikukhala kuwala kosalekeza kuwalitsa ku mwamba","Ngati Miyamba muli modzadza ndi nyenyezi, ndi chifukwa chiyani kuwala kwawo sikuwala nthawi zonse mu miyamba muu?"
"If we were supposed to talk more than listen, we would have been given two mouths and one ear.",Online,"Ngat timayenereka kuyankhula kwambiri kusiyana ndi kuvetsera, ndiye bwezi titapatsidwa pa kamwa pawiri ndi khutu limodzi","Kunakakhala kuti tiziyakhula kwambiri kusiyana ndi kumvetsera, tinakapatsidwa kamwa ziwiri ndi nkhutu limodzi."
"In conversation, one is likely to find out certain things about the other person quite easily.",Online,"Pakuyankhulana, nkotheka munthu kuzindikila zinthu zina za munthu winayo mosavuta","Pakuyankhulana, wina akhoza kupeza zambiri za mzakeyo mosavuta."
It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.,Online,Linadali vuto langa kuti Kekeyo ipserele. Ndimayankhula pa lamya ndiye sinnazindikire za nthawi,Ndikulakwitsa kwanga kuti cake ipsyerere. Ndinali ndili pa phone ndipo sindinazindikire za nthawi.
It's no use confessing your sins to the priest if you don't think twice before repeating them.,Online,Nzopanda ntchito kuwulula machimo ako kwawa nsembe ngati sulingalilaso kachiwiri usanakawachitenso,Kulibe mphindu lolapa/kuvomereza ntchimo lako kwa wansembe usanaganize kawiri usanachite malapidwewo.
"Money can't buy happiness. However, it's more comfortable to cry in a Maserati than on a bike.",Online,"Ndalama singagule chisangalalo. Komabe, zimavekako bwino kulira uli mu Maserati kusiyana ndipa njinga","Ndalama singagule chisangalalo, komabe ndikwabwino kumalira uli mu Maserati kusiyana kuti uli pa njinga yopalasa."
That knife was so blunt I couldn't use it to cut the meat so I had to rely on my pocket knife.,Online,Mpeniwo unali wosatwa/ wobunya sindinakakwanitsa kugwiritsa ntchito podulira nyama kotero ndinadalira mpeni wanga wa muthumba woyenda nawo.,Mpeniwo unali wosatwa/ wobunya sindinakakwanitsa kugwiritsa ntchito podulira nyama kotero ndinadalira mpeni wanga wa muthumba woyenda nawo.
This note summarizes some information that we hope to discuss at the meeting in San Francisco.,Online,"Ka nusu aka kakufotokozera mwachidule uthenga wina womwe tikuyembekezera kukambirana ku mkumano waku Sani
Fulasisiko",Ka pepalaka kakukamba zonse mwa chidule zomwe tikuyembekeza kukakambilana ku kumano ku San Fransisco
Tom called Mary to ask her whether she wanted him to buy some bread on his way home from work.,Online,Thomu adayimbira Mele kuti amufuse ngati amafuna kuti iye aguleko buledi akamachoka ku ntchito,Tom anamuyimbila Mary kuti amufunse ngati amafuna kuti amugulire buledi pomwe amabwera kunyumba kuchokera ku ntchito.
Tom told the children that they could stay in this room as long as they didn't make any noise.,Online,Thomu anawauza ana kuti akhoza kukhala mu chipanda chake bola asapange phokoso lilirose,Tom anawauza wana kuti akhoza kukhala mu chipindamo pokhapokha ngati samachita phokonso.
Tom wished he had had the courage to jump into the river and save the baby that had fallen in.,Online,Thomu anafunitsitsa kuti anali ndi kulimba ntima kujowera mmumtsinje ndipulumutsa nkhanda lomwe linagwelamo,Tom amafunitsa anakakhala ndi kulimba mtima kudumphira mu mtsinje ndi kukapulumutsa mwana yemwe anagweramo.
Tom's an irritating person to work with because he'll never admit it when he's made a mistake.,Online,Thomu ndimuthu osasangalatsa ((obowa)) kugwira naye ntchito chifukwa savomereza akalakwitsa,Tom muthu wovuta kugwira naye ntchito chifukwa savomereza akalakwitsa.
"When we are away from home, nothing gives us more pleasure than to receive a parcel from home.",Online,"Tikakhala kutali ndikunyumba/mudzi, palibe chomwe chimasangalatsa ngati kulandila katundu wochokerakunyumba/mudzi","Pamene tili muliyenda, palibe chomwe chimakupangitsa kukhala wosangalala pamene walandira zithu kuchokera kunyumba kwanu."
"As soon as I can get my son to scan our family photos, I'll upload some of them to our website.",Online,"Ndikangopanga zoti mwana wanga ajambule/apange sikani zithunzi za banja lathu,ndidzaziika pa webusaiti yathu","Mwana wanga akagomaliza kuwunikiranso zithunzi za banja lathu, zina mwa izo ndiziika pa website yathu."
"For some reason, people have been avoiding me like the plague ever since I got back from India.",Online,"Pazifukwa zina, anthu akhala akundipewe ngati mulili wa matenda chibwerereni kuchoka ku Indiya","Pazifukwa zosadziwika kwa ine, athu akhala akundipewa ngati ndine mliri chibwerereni ku India"
It wasn't until long after they got married that Tom found out that Mary was wanted for murder.,Online,Sipanatenge nthawi chikwatiliraneni pomwe Thomu anazindikira kuti Mele amafuna kuphedwe,Sipanatenge nthawi atakwatirana pomwe Tom anapeza kuti Mary amafunika kuti aphedwe.
Mary waited years for Tom to get out of prison and was very happy when he finally got released.,Online,Mele anadikira zaka zambiri kuti Thomu atulutsidwe mu ndende ndipo anali osangalala atatulutsidwa,Mary anadikira zaka zambiri kuti Tom atulutsidwe ku ndende ndipo anakondwera atatulutsidwa.
Never work on electrical wiring without unplugging it; it's a bad idea. I know from experience.,Online,Osayelekeza kugwila ntchito zolumikiza magetsi musanazuleko; ndiganizo losakhala bwino. Ndikudziwa izi kuchokera pa zomwe ndadutsamo,"Osamagwira ntchito zamagetsi usanazimitse, ndi kuganiza kolakwika. Ndikudziwa chomwe ndikuyakhula poti zinandichitikirapo."
"Professional translators quite often specialize in just one field, for example law or medicine.",Online,"AKadaulo azotathaunzira nthawi zambiri amayika chidwi pa chithu chimodzi, mwa chitsanzo zamalamulo kapena zamankhwala",Akatswiri omasulira amakhazikika pa chiyankhulo chimodzi. mwa chitsanzo a zamalamulo ndi zamankhwala.
The bursting of Japan's so-called bubble economy sent shockwaves through international markets.,Online,Kufwamphuka/kuchita bwino kwa zachamu ku Japan kwa dabwitsa misika yapadziko lapansi,Kuphulika mwa chuma cha Japan chagwedeza dziko lonse
"Tom could hear a commotion in front of his house, so he went outside to see what was happening.",Online,"Thomu adava chiphokoso kutsogolo kwa nyumba yake, ndiye anatuluka panja kuti akaone chomwe chikuchitika","Tom amamva kusokosa kunja kwa nyumba yake kumaso, kotero anatuluka kuti akawone zomwe zimachitika."
Tom wondered how many times he'd have to tell Mary to clean her room before she finally did it.,Online,Thomu anaganizila kuti azimuuza Mele kangati kuti akhoze chipinda chake asanachitedi izi,Tom amadabwa ndi kuchuluka kwa nthawi yomwe amamuuza Mary kuti akakonze ku chipinda kwake iyeyo payekha asanagwire ntchitoyi.
"We have considered your proposal, and we have decided that we are not able to reduce the price.",Online,"Pempho lanu talilingalira, ndipo tapanga ganizo lakuti sitikwanitsa kuchotsera ntengo","Taunikira zolemba zanu, ndipo taganiza zoti sitikwanitsa kuchotsera mtengowo"
We humans have a great way of twisting facts to fit our conclusion as soon as we have made one.,Online,Ife anthu tili ndi njira yabwino yophindula/ sandula/khotetsa zowona zake za chithu kuti zilingane ndimomwe mathero tawapangira,Ife athu tili ndi njira zokhotetsera choonadi ndi cholinga choti tikwaniritse zomwe talinga tikagofikapo.
"When he left the Army, Roger Miller moved to the home of country music in Nashville, Tennessee.",Online,"Atachoka ku Ame, Roja Mila anasamukira ku chimake kwa nyimbo za kauntile ku Nashivile, Tenizi","Atasiya ntchito ku Army, Roger Miller anasamuka kupita kwao ku Nashville Tenesse"
"When out at sea, to keep the fish that is caught from spoiling, it is immediately refrigerated.",Online,"Mukangotuluka panyanja, kuti nsomba nzomwe mwagwira zisaonongeke, zimayikidwa mwachangu mu filiji","Ukakhala uli ku nyanja kumpha nsomba, kuti zisaonogeke zomwe wagwira kale, pmpopompo kuziiika mu filigi"
"When the train goes through the station, the windows rattle noisily and the whole house shakes.",Online,"Thileni ikamadutsa pa siteshoni,ma zenera amaapanga phokoso lonjenjemera ndipo nyumba yose imagwedezeka","Pamene sitima ifika poyima pake, mzenera losamata bwinolo limasokonsa komanso nyumba yonse imagwedera."
"You mustn't think only about your job, you must also think about the importance of your family.",Online,"Sukuyenera kumangoganizira za ntchito yako, uziganizilaso kufunikila kwa banja lako","Usamagoganiza za ntchito yako yokha, uziganizanso za kufunika kwa banja lako."
"According to the old man I met yesterday, cockroaches can be eaten and don't taste all that bad.",Online,"Kutengera munthu wachikulire yemwe nnakumana naye dzulo, akuti mphevu zitha kudyedwa sikuti zimaveka udyo","Kutengera ndi muthu wokalamba yemwe ndinakumana naye dzulo, mphemvu zikhoza kudyedwa ndipo sizimveka molakwika mkomwe."
"After Tom had eaten all the popcorn in the bowl, he went back into the kitchen to pop some more.",Online,"Tom atadya popcorn yense yemwe anali mu mbale, anapita ku khitchini kukapanganso popcorn wina.","Tom atadya popcorn yense yemwe anali mu mbale, anapita ku khitchini kukapanganso popcorn wina."
"Although he had fewer supporters among the governing class, he was able to get the popular vote.",Online,"Ngakhale anali ndi omusapotera ochepa mu gulu la olamulira, iye anakwanitsa kupeza voti yotchuka","Angakhale anali ndi omutsatira ochepa pa makalasi omwe anali ndi ulamuliro, anakwanitsa kupapmbana pa masankho"
"Cesar Chavez died in 1993 at the age of sixty-six. More than 40,000 people attended his funeral.",Online,"Siza Chavezi anamwalira mu chaka cha 1993 ali ndi zaka makumi asanu ndi imodzi, ndi makumi faifi ndi imodzi/sikisite.Anthu opitilira mphambu makumi anayi anapita kumaliro ake.",Cesar Chavez anamwalira mu chaka cha 1993 ali ndi zaka 66. Athu opos 40 000 anakhala nawo pa mwambo wa maliro ake.
"Don't worry. He may look intimidating at first glance, but he's actually a very friendly person.",Online,"Osadandaula.Amaoneka owopyeza ukamuona koyamba, koma ndi munthu ochezeka kwambiri","Osadandaula. Akhoza kuwoneka obowa kukumana naye koyamba, koma si chocho, zenizeni ndi zakuti ndi munthu wochezeka ndi wina aliyense."
"I thought a bunch of people would go water skiing with us, but absolutely no one else showed up.",Online,"Ndimaganiza kuti kagulu ka wathu kapita nawo kukasewera madzi ndi ife, koma mwa theradi angakhale mmodzi sanabwere nafe","Ndimaganiza kuti kagulu ka wathu kapita nawo kukasewera madzi ndi ife, koma mwa theradi angakhale mmodzi sanabwere nafe"
"I thought doing this would be easy, but we've been working all day and we're still not finished.",Online,"Ndimaganiza ngati kupanga izi kukhala kophweka, koma takhala tikugwira tsiku lose ndipo sitinamalizebe","Ndimaona ngati kupanga izi zikhala zosavuta, koma takhala tikugwira tsiku lonse osamalizabe."
"If you want to change the world, start with the person that you see in the mirror every morning.",Online,"Ngati ukufuna kusitha dziko, uyambe ndi munthu yemwe umamuona pagalasi tsiku lililose/ uyambe iwe mwini","Ngati ukufuna kusitha dziko, uyambe ndi munthu yemwe umamuona mmamawa uliwonse pa kaliwole."
Investment in education is undoubtedly the only effective way to bring a country out of poverty.,Online,Kuchulukitsa ndalama kumaphunziro ndi njira yokhayo yosakaikitsa yomwe dziko lingachokere mu umphawi,Kuyika maziko pa maphunziro ndizosakaikitsa kuti ndi njira yokhayo yodalilika yotukula dziko kuchoka mu umphawi.
It is needless to say that an experienced person will do better than someone without experience.,Online,Ndizosafunikira kunena kuti munthu yemwe ali ndi zaka zambiri zodziwira chithu ndiemwe atha kuchita bwino kuposa wina opanda,Zosafunika kunena kuti munthu yemwe ali ndi zomuchitikira akhoza kuchita bwino kuposa munthu yemwe alibe zomuchitikira
It's a lot less likely for a Macintosh computer to have a virus than a computer running Windows.,Online,Zosatheka kuti ma compyutala a Macintoch akhoza kukhala ndi virus mu window,Zosatheka kuti ma compyutala a Macintoch akhoza kukhala ndi virus mu window
Most people say that the best way to learn a foreign language is to learn from a native speaker.,Online,"255Most people say that the best way to learn a foreign language is to learn from a native speaker.
Anthu ambiri amati njira ya bwino yophunzirira chiyankhulo cha dziko lina ndikuphuzira kuchokera kwa mbadwa yachiyankhulocho.",Athu ambiri amanena kuti njira yabwino yophuzirira chiyankhulo ndi kumphunzira kwa anthu omwe ali ayeni ake enieni.
"Since I haven't received an answer, I was wondering if maybe my mail never got delivered to you.",Online,"Popeza sinnalandire yankho, ndimaganizira kuti mwina emelo yanga sinnatumizike.","Chifukwa choti sindinalandire yankho lina lililonse, ndimadabwa kuti mwina mail yanga sinafike kwa inu."
"The ability to work hard is an admirable quality, but the ability to relax is equally important.",Online,"Kuthekera kolimbikira ntchito ndi chithu chokhumbirika/chosilirika, koma kuthekera kopuma nkofunikiraso","Kutha kugwira ntchito molimbika ndi chithu chokhumbilika, koma kutha kupuma ku ntchito ndi chithu chofunikira."
"The most interesting information comes from children, for they tell all they know and then stop.",Online,"Uthenga osangalatsa kwambiri ndiwochokera kwa ana, iwo amafotokoza chilichose chomwe akuchidzidwa keneko amalekeza","Nkhani zosangalatsa zimachokera kwa ana, chifukwa amagonena zonse omwe iwo akudziwa ndi kuima pompo."
"Tom said that he doesn't want to hurt you, but if you come around here again, he'll beat you up.",Online,"Thomu adati iye samafuna kukuvulaza, koma ngati ungabwereso kunoko, adzakumenya","Tom anati sakufuna kukuvulaza mwa njira inaliyonse, komabe ngati ufikanso kuno, azakumenya."
Tom says he can't understand how Mary manages to make so much money working only one day a week.,Online,Thomu akuti sakutha kuvetsa momwe Mele amakwanitsira kupanga ndalama zochuluka kungogwira tsiku limodzi pa sabata,Tom adati sakuvetsetsa kuti Mary amakwanitsa kupanga ndalama zochuluka pa tsiku mu sabata imodzi.
Carbon monoxide is a poisonous substance formed by the incomplete combustion of carbon compounds.,Online,Carbon monoxide ndi mpweya oyipa omwe umapangidwa chifukwa cha kusalumikizana bwino kwa ma carbon,Carbon monoxide ndi mpweya oyipa omwe umapangidwa chifukwa cha kusalumikizana bwino kwa ma carbon
He is usually straightforward and sincere and thereby gains the confidence of those who meet him.,Online,Iyeyu nthawi zambiri ndiwachindunji ndiwoona ntima ndipo amapeza chikhulupiriro kwa omwe wakumana nawo,"Nthawi zambiri ndi woyakhula mosakhotetsa zithu komanso woona mtima, ndipo apa ndi pamene athu ambiri amamukhulupilira."
"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week.",Online,"Lolemba, Lachiwiri, Lachitatu, Lachinayi, Lachisanu, Loweluka ndi lamulungu ndi masiku asanu ndi awiri apa sabata","Lolemba, Lachiwiri, Lachitatu, Lachinayi, Lachisanu, Loweruka komanso Lamulungu ndi masiku asanu ndi awiri omwe amapanga sabata limodzi."
"Roger Miller learned to play the guitar and the violin. Much later, he learned to play the drums.",Online,"Roja Mila anaphunzira kusewera/kuyimba gitala ndi vayolini. Patsogolo pake, anaphunzira kuyimba ngo’ma",Roger Miller anamphunzira kuyimba gitala komanso violin. Posatenga nthawi anamphunziranso kuyimba ng'oma.
"She advised him to visit Boston, because she thought it was the most beautiful city in the world.",Online,"Anamulangiza kuti azayendere Boston, chifukwa ndi chakuti amaganiza kuti ndi mzinda wokongola zedi pa dziko lonse lapansi.","Anamulangiza kuti azayendere Boston, chifukwa ndi chakuti amaganiza kuti ndi mzinda wokongola zedi pa dziko lonse lapansi."
"Tom gave a famous singer ten thousand dollars to come to the restaurant to sing ""Happy Birthday.""",Online,Thomu anapeleka ma dola okwana mazana khumi kwa oyimba otchuka kuti abwere kudzayimba Kumalo odyera “Hape Bethide”,"Kumuputsa woyimba wontchuka zedi kuti azayimbe pa malo odyera (restaurant) kuti ""tsiku labwino lobadwa"""
Tom left the milk unattended on the stove and it boiled over and went all over the kitchen floor.,Online,"Thomu anangosiya mkaka pa sitovu osawunga’nira, ndipo unawila nkutayikila pansi ponse ku khitchini",Tom anasiya mkaka pamoto osausamalira ndipo unawila mpakana kutaikira mu khintchini pansi.
"When you have eliminated the impossible, whatever remains, however improbable, must be the truth.",Online,"Mukachotsa pazosatheka,zilizose zingatsalezo, ngakhale zingaoneke zosatheka,zikuyenera kukhala zolondola","Ukachotsa zosatheka, zonse zotsala, mosachotsera, ziyenera kukhala zoona."
"Foods rich in vitamin E include dark-green, leafy vegetables, beans, nuts and whole-grain cereals.",Online,"Zakudya za vitameni E ndi monga masamba obiriwra, nyemba, ntedza ndi chimanga chosakonola","Zakudya zomwe zili ndi ma vitamin E ochuluka ndikuphatikizapo, masamba obiriwira, nyemba, gulu la mtedza ndiponso za gulu la chimanga."
"From personal experience, I know that any encounter with him will leave a bad taste in your mouth.",Online,"Kuchokera mu zondichitikira, ndinadziwa kuti mukakumana naye asiya fungo loipa mkamwa mwako.","Kuchokera mu zondichitikira, ndinadziwa kuti mukakumana naye asiya fungo loipa mkamwa mwako."
Give a man a fish and you feed him for a day. Teach a man to fish and you feed him for a lifetime.,Online,Mpatseni munthu nsomba ndipo mumudyetsa kwa tsiku. Mphunzitseni kuwedza ndipo mumudyetsa moyo wake wose,"Mpatseni munthu nsomba, adya lero. Mphunzitsani munthu kuwedza nsomba, azadya nsomba umoyo wake onse."
His novel ideas are time and again getting him into trouble with his more conservative colleagues.,Online,Ganizo lake la kabuku ka nkhani zikumulowetsa mavuto nthawi zonse ndi azizake ambiri osakhazikika.,Ganizo lake la kabuku ka nkhani zikumulowetsa mavuto nthawi zonse ndi azizake ambiri osakhazikika.
I heard that one way to stay healthy is to avoid eating any food with unpronounceable ingredients.,Online,Ndinava kuti njira ina yokhalira wathanzi ndiko kupewa zokudya zomwe sawulula zomwe agwiritsa ntchito popanga,Ndinamva kuti njira imodzi yokhalira wanthanzi ndi kusadya zakudya zonse zomwe zili ndi mayina ovuta kuntchula akamazipanga zakudyazo.
I think it's unlikely that the next version of Windows will come out before the end of this month.,Online,Nduganiza kuti ndizosatheka kuti fanizo lina la windozi lituluka mwezi uno usanathe,Ndikuganiza kuti zosatheka kutulutsa windows wina pakutha pa mwenziwu.
I've kept my weight down even though many of my friends have gained weight as they've grown older.,Online,Ndachepetsa thupi langa ngakhale kuti anzanga ambiri awonjezera thupi lawo pomwe akula,Ndasunga kulemera kwanga angakhale azinzanga ambiri sikero yawo yakwera pamene akukalamba/ akukula.
The boy I saw searching through the garbage can said that he had not eaten anything for four days.,Online,Mnyamata yemwe nnamuona akusaka mu dzala anati wakhala masiku anayi osadya kanthu,Nyamata yemwe ndinamuona akutoreza kudzala anganene kuti sanadye kena kalikonse kwa masiku anayi apitawo.
Tom told Mary that he thought a hippopotamus could run at a speed of about 30 kilometers per hour.,Online,Thomu anauza Mele kuti amaganiza kuti Mvuu zikhoza kuthamanga pa liwiro la makumi atatu pa ola iliyose,Tom ndi Mary amaganiza kuti Mvuwu ikhoza kuthamanga 30 kilometer pa ola limodzi.
Yesterday the unveiling of the founder's statue and the opening of the school building took place.,Online,Kufundukula Chilengulengo chamwini oyambitsa ndiku tsekulira sukulu zinachitika dzulo,"Mwambo owonetsa chipilala cha yemwe anayambitsa ndi kutsegulira sukulu yomwe yamagidwa, unachitika dzulo."
You know that your English is good when people stop complimenting you on how good your English is.,Online,Umadziwa kuti chizungu chako ndichabwino athu akasiya kukuyamikila momwe chiliri bwino chizungu chako,Umadziwa kuti chingerezi chako chili bwino pamene anthu asiya kuikirapo mulomo mmene umayankhulira chingerezi.
"Even though Tom begged Mary not to go, she left with the children and went to live with her mother.",Online,"Angakhale Tom anamupempha Mary kuti asachokepo, iye anachoka ndi ana omwe ndi kukakhala kwa amayi ake.","Angakhale Tom anamupempha Mary kuti asachokepo, iye anachoka ndi ana omwe ndi kukakhala kwa amayi ake."
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Online,"Sindingasithe komwe mphempo ikuchokera, komabe ndikhoza kupalasa bwatoli ndikukafika komwe ndikupita.","Sindingasithe komwe mphempo ikuchokera, komabe ndikhoza kupalasa bwatoli ndikukafika komwe ndikupita."
"I don't like snack bars. They're expensive, noisy, and full of the smell of tobacco and fried food.",Online,"Sindikonda sinaki bala. Ndiyodula, yaphokoso ndiposo yodzala ndi mfungo la fodya ndi chakudya chokazinga","Sindikonda malo omwela mowa omwe ali owoneka okopa. amakhala okwera mtengo, amphokonso komanso onukha fodya ndinso zakudya zomphikidwa mafuta."
"I've got a squeaking noise in my brand new car, and do you think I can find where it's coming from?",Online,"Ndikuva phokoso mu galimoto yanga yatsopano, ukuganiza kuti nditha kupeza komwe likuchokera?",Ndili ndi phonkoso lomwe likumamveka mu galimoto yanga ya tsopanoyi. Kodi ukuganiza kuti ungapeze pomwe pali vutoli?
"Scientists continue to discover new medicines, so there is always hope for people who are in comas.",Online,"Anthu a sayansi akupitilizabe kupeza mavumbulutso a mankhwala a tsopano, ndiye chikhulupiliro chilipo kwa anthu omwe akhala chikomokere kwa nthawi yayitali","Azasayasi akupitililabe kupeza mankhwala atsopano, kotero pali chiyembekezo kwa nathu omwe amakomoka."
"Since in this organization they're all chiefs and no Indians, it's a wonder any decisions get made.",Online,"Kutengera kuti pa bungwe pano pali mafumu okhaokha opanda wampansi, ndi zodabwitsa mmene ziganizo zimapangidwira.","Kutengera kuti pa bungwe pano pali mafumu okhaokha opanda wampansi, ndi zodabwitsa mmene ziganizo zimapangidwira."
"Their influence becomes greater every day, but they are uncreative and can't make value judgements.",Online,"Chikoka chawo chikunka nikulira tsiku ndi tsiku, koma alibe luso ndipo sangapange chiganizo cha bwinobwino","Chikopa chawo chikukulirakulitsa tsiku lililonse, koma satha kubweretsa chithu chatsopano komanso sangapange chigamulo choyenera."
Tom did everything within his power to save the children that were trapped in the burning building.,Online,Thomu anapanga chilichose chothekera kupulumutsa ana omwe anatsalira mu nyumba yomwe imayaka,Tom anachita china chilichonse kudzera mu mphamvu zake kupulumutsa ana omwe anali mu nyumba yomwe imayaka moto.
Tom told Mary that he didn't think it was a good idea for her to go jogging in the park by herself.,Online,Thomu anawuza Mele kuti anaganiza kuti sinali ganizo labwino kupita kothamanga ku paki yekha,Tom anauza Mary kuti samaganiza kuti anali maganizo abwino kuti Mary apite kodumphadumpha komwe amayimika ma galimoto yekha.
Giving up smoking is the easiest thing in the world. I know because I've done it thousands of times.,Online,Kusiya kusuta ndichithu chophweketsetsa pa dziko lino. Ndikudziwa chifukwa ndachitapo izi nthawi zambiri,Kusiya kusuta fodya ndi chithu chosavuta padziko lapansi kuchita. Ndikudziwa chifukwa ndachitapo izi zikwi za nthawi.
I don't quite believe it when I hear someone claim they can speak more than five languages fluently.,Online,Sindimakhulupilira kwenikweni ndikamva wina akunena kuti akhoza kuyankhula ziyankhulo zopitilira zisanu momveka bwino kwambiri,Sikwenikweni kuti ndimakhulupilira ndikamamva kuti munthu modzi amadziwa ziyankhulo zoposera zisanu ndikumayankhula bwinobwino
I think it's unlikely that aliens similar to what we see in the movies have ever visited our planet.,Online,Nduganiza kuti ndizosatheka kuti zilengeredwa zomwe timaona mu ma filimu zinayamba zabwerapo padziko lathu lino,Ndikuganiza kuti mzukwa zofanana ndi zomwe timaziona mumakanema zinayenderako dziko lapansi
"If you spend too much time in the sun without putting on sunscreen, you are likely to get a sunburn.",Online,"Ngati ukukhalitsa padzuwa osapaka Mafuta ozitetezera kudzuwa , zachidziwikire ukhala ndi zilonda za dzuwa","Ukakhala padzuwa nthawi yaitali, umatuluka zilonda za dzuwa."
